t,x,z,yaw,time_s
1780765116.0161011,0.8723522426920056,3.90015605743049,0.019685507357039316,0.0002446174621582031
1780765116.1161785,0.9002332510213803,3.902269898329608,0.011366160118107963,0.10032200813293457
1780765116.2162256,0.9223205896335132,3.892219412858176,0.006138263741191701,0.20036911964416504
1780765116.3161068,0.9232321174381782,3.89257874803894,0.006552520958246308,0.3002502918243408
1780765116.416323,0.9203657677468311,3.892868489526063,0.008241195192968438,0.4004664421081543
1780765116.5158916,0.9417315141543668,3.8894771825241863,0.0024990576942514084,0.5000350475311279
1780765116.6162674,0.9486213284874009,3.8891958251653835,0.0007371706307539224,0.6004109382629395
1780765116.7160668,0.9381844603682932,3.888699385264799,0.004346621795161338,0.7002103328704834
1780765116.8163042,0.9703808084263337,3.8759129707993907,-0.005274464451572163,0.8004477024078369
1780765116.9162607,0.9769831649927623,3.8749566742347294,-0.006973409761533086,0.9004042148590088
1780765117.0162985,0.9774120027381407,3.872775243084105,-0.006887705903575464,1.0004420280456543
1780765117.1160276,0.9911319227962914,3.873443368562774,-0.011678026648271696,1.1001710891723633
1780765117.2163613,0.9941470099182418,3.863447224654076,-0.012529778783741657,1.2005047798156738
1780765117.3161228,0.9996656179097629,3.8642817570712977,-0.013876430364280073,1.3002662658691406
1780765117.4162643,0.996756496549247,3.8668117493021175,-0.012999090039977576,1.4004077911376953
1780765117.5165436,1.0040425970030304,3.867009268835893,-0.01576228573727704,1.5006871223449707
1780765117.6162834,1.0131872714144006,3.8684328095065132,-0.018906885029017998,1.6004269123077393
1780765117.7167335,1.0187929599325505,3.8702999076171007,-0.021072428452997876,1.7008769512176514
1780765117.8162887,1.0349832815152635,3.861597500570452,-0.026034889116110245,1.8004322052001953
1780765117.9161148,1.033678428281022,3.858766084457194,-0.024971114826727973,1.9002583026885986
1780765118.0163863,1.0322072716818314,3.8563767880363105,-0.023912222960609054,2.0005297660827637
1780765118.116104,1.0333545558654627,3.8535395096837015,-0.023553391575480972,2.100247383117676
1780765118.216348,1.0331621279137937,3.853508433299416,-0.023059881061695778,2.200491428375244
1780765118.3162563,1.03299516954464,3.8536779035866586,-0.022644897255112782,2.3003997802734375
1780765118.4167323,1.032330255349732,3.853828585671145,-0.02212646265982651,2.4008758068084717
1780765118.5161781,1.0384981714219552,3.8514463115756246,-0.02366916183077077,2.500321626663208
1780765118.6162705,1.0356578870389792,3.8503531513551756,-0.02251876209135196,2.6004140377044678
1780765118.7162085,1.0342293515854006,3.8481019916749175,-0.021820820955073313,2.7003519535064697
1780765118.8164802,1.04672237484538,3.84259979959562,-0.026081736842702263,2.800623655319214
1780765118.9162703,1.0476911742228736,3.8496737648983532,-0.027182053394723443,2.900413751602173
1780765119.0162609,1.049772768995355,3.8542495811180926,-0.028345776899255617,3.0004043579101562
1780765119.116254,1.0511153524870176,3.8564153007992643,-0.029225294491307306,3.1003975868225098
1780765119.216253,1.0338473357426057,3.8627694731320745,-0.0242178475503776,3.2003965377807617
1780765119.3161314,1.025823247642469,3.8673120947275605,-0.021721423070891328,3.3002748489379883
1780765119.4162743,1.0263125424920305,3.8638220271345824,-0.02115782423033766,3.4004178047180176
1780765119.5163343,1.0280672120253858,3.867678970471437,-0.02233098923718683,3.5004777908325195
1780765119.6162784,1.0347636727345297,3.869609470065477,-0.02445164815502457,3.600421905517578
1780765119.7161758,1.023237448001756,3.8693350051194884,-0.02076403602602002,3.700319290161133
1780765119.8162103,1.0237634296897729,3.8712964398616303,-0.02018177174517871,3.800353765487671
1780765119.9161432,1.0250108311362003,3.8686834770320195,-0.019781553701054066,3.9002866744995117
1780765120.0163138,1.0322187990496021,3.8746333146768293,-0.02224341421546357,4.000457286834717
1780765120.1161633,1.0185850095277629,3.8816745473942373,-0.01769107232419015,4.100306749343872
1780765120.2161925,1.0227542976899668,3.88303498434023,-0.01852195462844115,4.20033597946167
1780765120.3167145,1.0041848924048173,3.8889104365498515,-0.012634997023488116,4.300858020782471
1780765120.4164305,1.0163021369262522,3.893105811705732,-0.01642350923279688,4.400573968887329
1780765120.5162272,1.0103382840414286,3.8970196146259366,-0.014138675586281907,4.500370740890503
1780765120.6162043,1.019296770950099,3.8901777068102223,-0.015970782475422742,4.6003477573394775
1780765120.7164092,1.0471674527214703,3.8847670030408934,-0.02392448718129541,4.700552701950073
1780765120.815838,1.0372520686523063,3.889126541542779,-0.020455884617807236,4.799981594085693
1780765120.9162662,1.034392583361919,3.889557702450214,-0.01904667967785849,4.900409698486328
1780765121.0162501,1.0438063873628036,3.8826766238963475,-0.021185702506138132,5.000393629074097
1780765121.1162317,1.0514988684406936,3.890163897719425,-0.024422752229962305,5.100375175476074
