t,state,time_s
1780959448.8809557,SEARCH,0.06823515892028809
1780959448.9801745,SEARCH,0.16745400428771973
1780959449.0801246,SEARCH,0.26740407943725586
1780959449.1801012,SEARCH,0.36738061904907227
1780959449.280133,SEARCH,0.46741247177124023
1780959449.3799899,SEARCH,0.5672693252563477
1780959449.4801192,SEARCH,0.6673986911773682
1780959449.5803008,SEARCH,0.7675802707672119
1780959449.6800086,SEARCH,0.8672881126403809
1780959449.7810225,SEARCH,0.9683020114898682
1780959449.8800373,SEARCH,1.0673167705535889
1780959449.980275,SEARCH,1.1675543785095215
1780959450.080062,SEARCH,1.2673413753509521
1780959450.1800282,SEARCH,1.3673076629638672
1780959450.2803264,SEARCH,1.4676058292388916
1780959450.379846,SEARCH,1.5671255588531494
1780959450.4799404,SEARCH,1.667219877243042
1780959450.579997,SEARCH,1.7672765254974365
1780959450.679909,SEARCH,1.8671884536743164
1780959450.7800515,SEARCH,1.9673309326171875
1780959450.880006,SEARCH,2.0672855377197266
1780959450.9799876,SEARCH,2.167267084121704
1780959451.0805237,SEARCH,2.267803192138672
1780959451.179965,SEARCH,2.3672444820404053
1780959451.2799299,SEARCH,2.4672093391418457
1780959451.3800433,SEARCH,2.5673227310180664
1780959451.480421,SEARCH,2.6677005290985107
1780959451.5800457,SEARCH,2.7673251628875732
1780959451.680036,SEARCH,2.8673155307769775
1780959451.7800019,SEARCH,2.9672813415527344
1780959451.8799787,SEARCH,3.06725811958313
1780959451.9801328,SEARCH,3.167412281036377
1780959452.080068,SEARCH,3.267347574234009
1780959452.180051,SEARCH,3.367330551147461
1780959452.2799122,SEARCH,3.467191696166992
1780959452.380732,SEARCH,3.568011522293091
1780959452.4800339,SEARCH,3.66731333732605
1780959452.5799277,SEARCH,3.767207145690918
1780959452.6801133,SEARCH,3.8673927783966064
1780959452.7800536,SEARCH,3.9673330783843994
1780959452.880041,SEARCH,4.067320346832275
1780959452.980027,SEARCH,4.167306423187256
1780959453.080716,SEARCH,4.267995357513428
1780959453.180031,SEARCH,4.367310523986816
1780959453.2800696,SEARCH,4.467349052429199
1780959453.3800542,SEARCH,4.567333698272705
1780959453.4799705,SEARCH,4.667249917984009
1780959453.5800383,SEARCH,4.767317771911621
1780959453.6799927,SEARCH,4.867272138595581
1780959453.7799695,SEARCH,4.967248916625977
1780959453.880059,SEARCH,5.067338466644287
1780959453.9800358,SEARCH,5.167315244674683
1780959454.0800812,SEARCH,5.267360687255859
1780959454.180052,SEARCH,5.367331504821777
1780959454.2799723,SEARCH,5.467251777648926
1780959454.3800328,SEARCH,5.567312240600586
1780959454.4800427,SEARCH,5.667322158813477
1780959454.5806854,SEARCH,5.767964839935303
1780959454.680077,SEARCH,5.867356538772583
1780959454.7801578,SEARCH,5.967437267303467
1780959454.880092,SEARCH,6.067371368408203
1780959454.9800415,SEARCH,6.167320966720581
1780959455.080025,SEARCH,6.267304420471191
1780959455.180116,SEARCH,6.367395401000977
1780959455.280028,SEARCH,6.4673075675964355
1780959455.38003,SEARCH,6.567309379577637
1780959455.480051,SEARCH,6.667330503463745
1780959455.5800595,SEARCH,6.767338991165161
1780959455.6800058,SEARCH,6.867285251617432
1780959455.7814708,WAIT_FOR_STABLE_TAG,6.968750238418579
1780959455.8800173,WAIT_FOR_STABLE_TAG,7.067296743392944
1780959455.979965,WAIT_FOR_STABLE_TAG,7.1672444343566895
1780959456.0800118,WAIT_FOR_STABLE_TAG,7.267291307449341
1780959456.1800659,WAIT_FOR_STABLE_TAG,7.367345333099365
1780959456.282126,APPROACH_ENTRANCE,7.46940541267395
1780959456.3799129,APPROACH_ENTRANCE,7.567192316055298
1780959456.479974,APPROACH_ENTRANCE,7.667253494262695
1780959456.5800936,APPROACH_ENTRANCE,7.767373085021973
1780959456.6800213,APPROACH_ENTRANCE,7.867300748825073
1780959456.7801657,APPROACH_ENTRANCE,7.967445135116577
1780959456.8798556,APPROACH_ENTRANCE,8.067135095596313
1780959456.9799225,APPROACH_ENTRANCE,8.16720199584961
1780959457.079963,APPROACH_ENTRANCE,8.267242431640625
1780959457.1800067,APPROACH_ENTRANCE,8.367286205291748
1780959457.28003,APPROACH_ENTRANCE,8.467309474945068
1780959457.3800046,APPROACH_ENTRANCE,8.567284107208252
1780959457.4799342,APPROACH_ENTRANCE,8.667213678359985
1780959457.5801222,APPROACH_ENTRANCE,8.767401695251465
1780959457.6813672,RECOVERING,8.868646621704102
1780959457.781143,WAIT_FOR_STABLE_TAG,8.968422412872314
1780959457.8800173,WAIT_FOR_STABLE_TAG,9.067296743392944
1780959457.9800093,WAIT_FOR_STABLE_TAG,9.167288780212402
1780959458.0800664,WAIT_FOR_STABLE_TAG,9.267345905303955
1780959458.1801834,WAIT_FOR_STABLE_TAG,9.367462873458862
1780959458.2809386,APPROACH_ENTRANCE,9.468218088150024
1780959458.3799863,APPROACH_ENTRANCE,9.567265748977661
1780959458.48006,APPROACH_ENTRANCE,9.667339563369751
1780959458.5800614,APPROACH_ENTRANCE,9.767340898513794
1780959458.6799846,APPROACH_ENTRANCE,9.867264032363892
1780959458.7799482,APPROACH_ENTRANCE,9.967227697372437
1780959458.880062,APPROACH_ENTRANCE,10.067341566085815
1780959458.9814124,RECOVERING,10.168691873550415
1780959459.0816429,WAIT_FOR_STABLE_TAG,10.268922328948975
1780959459.1809175,RECOVERING,10.368196964263916
1780959459.2800024,RECOVERING,10.467281818389893
1780959459.3801003,RECOVERING,10.567379713058472
1780959459.4799473,RECOVERING,10.667226791381836
1780959459.5811403,RECOVERING,10.768419742584229
1780959459.6800163,RECOVERING,10.867295742034912
1780959459.7799528,RECOVERING,10.96723222732544
1780959459.8800197,RECOVERING,11.067299127578735
1780959459.9802904,RECOVERING,11.167569875717163
1780959460.0799642,RECOVERING,11.26724362373352
1780959460.1800153,RECOVERING,11.367294788360596
1780959460.2800264,RECOVERING,11.467305898666382
1780959460.3799918,RECOVERING,11.56727123260498
1780959460.4799201,RECOVERING,11.667199611663818
1780959460.580038,RECOVERING,11.767317533493042
1780959460.6801803,RECOVERING,11.867459774017334
1780959460.7800374,RECOVERING,11.96731686592102
1780959460.8811834,RECOVERING,12.06846284866333
1780959460.9800396,RECOVERING,12.167319059371948
1780959461.0803008,RECOVERING,12.267580270767212
1780959461.18006,RECOVERING,12.367339372634888
1780959461.2802298,RECOVERING,12.467509269714355
1780959461.3797424,RECOVERING,12.56702184677124
1780959461.48007,RECOVERING,12.667349576950073
1780959461.580031,RECOVERING,12.767310380935669
1780959461.680092,RECOVERING,12.867371559143066
1780959461.7800374,RECOVERING,12.96731686592102
1780959461.8806186,RECOVERING,13.067898035049438
1780959461.9797056,RECOVERING,13.166985034942627
1780959462.0800478,RECOVERING,13.267327308654785
1780959462.1800249,RECOVERING,13.36730432510376
1780959462.279952,RECOVERING,13.467231512069702
1780959462.380012,RECOVERING,13.567291498184204
1780959462.4799185,RECOVERING,13.667197942733765
1780959462.580137,RECOVERING,13.76741647720337
1780959462.6798165,RECOVERING,13.867095947265625
1780959462.780076,RECOVERING,13.967355489730835
1780959462.8801587,RECOVERING,14.067438125610352
1780959462.9799411,RECOVERING,14.16722059249878
1780959463.0800517,RECOVERING,14.26733112335205
1780959463.1798968,RECOVERING,14.367176294326782
1780959463.2801461,RECOVERING,14.46742558479309
1780959463.3800042,RECOVERING,14.567283630371094
1780959463.479986,RECOVERING,14.66726541519165
1780959463.579996,RECOVERING,14.76727557182312
1780959463.6798584,RECOVERING,14.867137908935547
1780959463.7799916,RECOVERING,14.967271089553833
1780959463.880013,RECOVERING,15.06729245185852
1780959463.9798584,RECOVERING,15.167137861251831
1780959464.0800195,RECOVERING,15.267298936843872
1780959464.1808307,SEARCH,15.368110179901123
1780959464.280349,SEARCH,15.467628479003906
1780959464.3799582,SEARCH,15.567237615585327
1780959464.480491,SEARCH,15.667770385742188
1780959464.580789,SEARCH,15.768068552017212
1780959464.680812,SEARCH,15.868091344833374
