t,x,y,z,yaw,time_s
1780765638.0872178,3.011073869136495,-8.311396284523097e-08,0.2187310999838868,7.3461534775276505e-06,0.09025883674621582
1780765638.1268182,3.0110125782021426,-8.26984658081416e-08,0.2194716304420786,7.3461790499607105e-06,0.12985920906066895
1780765638.1687298,3.0109605061864806,-8.23499673985704e-08,0.2194664918117435,7.346203815039587e-06,0.17177081108093262
1780765638.2058983,3.0109202030434754,-8.208626926820725e-08,0.21874882013807798,7.3462266882984295e-06,0.2089393138885498
1780765638.2453146,3.010846968311802,-8.157762673988966e-08,0.2196504805550758,7.346245736172818e-06,0.24835562705993652
1780765638.2810082,3.010794439134438,-8.121916858473311e-08,0.219204475247198,7.3462626133391495e-06,0.28404927253723145
1780765638.32611,3.01073720733566,-8.082264050616749e-08,0.21893554185613726,7.346275220143639e-06,0.329150915145874
1780765638.3673296,3.010655940464425,-8.024518930082076e-08,0.21977708791645525,7.346282274056648e-06,0.37037062644958496
1780765638.4077628,3.0106042931207804,-7.98829248333119e-08,0.2188830228590092,7.346286727383244e-06,0.41080379486083984
1780765638.454694,3.0105259363824888,-7.931945577922905e-08,0.21932097155691913,7.346284822240534e-06,0.4577350616455078
1780765638.4991834,3.0104520558704064,-7.878550325397359e-08,0.21928813484324608,7.346278819930774e-06,0.5022244453430176
1780765638.5462086,3.0103855316535375,-7.830230061260063e-08,0.21881284542398033,7.346268919405929e-06,0.5492496490478516
1780765638.5904315,3.0102900586531245,-7.760210697911174e-08,0.21974264631509785,7.3462534331270035e-06,0.5934724807739258
1780765638.6335557,3.0102256739550857,-7.712857194567825e-08,0.21883657165201276,7.3462361118714625e-06,0.6365966796875
1780765638.6791627,3.0101432538302486,-7.651972959575358e-08,0.21881197450489195,7.346215249448562e-06,0.6822037696838379
1780765638.7115052,3.010039866907187,-7.5754595089068e-08,0.21977741334577167,7.346191516433009e-06,0.7145462036132812
1780765638.7639458,3.0099728834059722,-7.525632369896125e-08,0.21868111920018748,7.3461672860375415e-06,0.7669868469238281
1780765638.8025885,3.009880626365121,-7.457179930535391e-08,0.21884269449127938,7.346142353092944e-06,0.8056294918060303
1780765638.8386176,3.0097729393181036,-7.377402845711669e-08,0.21970103632708377,7.3461176519629134e-06,0.8416585922241211
1780765638.886283,3.0097003014558674,-7.323435794594031e-08,0.21861109741241735,7.346093757298888e-06,0.8893239498138428
1780765638.9235852,3.0095992386133874,-7.24878795607498e-08,0.21895398842170855,7.346072584013541e-06,0.9266262054443359
1780765638.9703832,3.0094925024673578,-7.170174557507905e-08,0.21945074993626526,7.346054130330515e-06,0.9734241962432861
1780765639.0121489,3.0094104953693095,-7.109927013725301e-08,0.2186200091375026,7.3460381244672135e-06,1.0151898860931396
1780765639.0553322,3.0092971291520145,-7.027048879853129e-08,0.21938043397298007,7.346027651067288e-06,1.058373212814331
1780765639.100929,3.0092045314626605,-6.959658497195694e-08,0.21887595981900362,7.346020070464476e-06,1.1039700508117676
1780765639.1524749,3.009105094113146,-6.887632711146899e-08,0.2187408441004125,7.3460176119866105e-06,1.1555159091949463
1780765639.1764941,3.008987519881513,-6.802704296617154e-08,0.2194491682077383,7.346020871601411e-06,1.179535150527954
1780765639.2170966,3.0088998662594775,-6.739980634561815e-08,0.2185370701173541,7.346026828614072e-06,1.220137596130371
1780765639.2618892,3.0087835924589656,-6.656679993325055e-08,0.21911111788816795,7.346038935374111e-06,1.264930248260498
1780765639.3003602,3.008678027362029,-6.581501286821702e-08,0.2189662649630489,7.34605440300129e-06,1.303401231765747
1780765639.3338318,3.00858184097133,-6.513443432345841e-08,0.21836000539900016,7.3460728771124195e-06,1.3368728160858154
1780765639.372754,3.0084547879757775,-6.423007291338546e-08,0.21934307770365977,7.346095523885765e-06,1.3757951259613037
1780765639.41532,3.008355913861819,-6.353374569314561e-08,0.21873208522925228,7.34611949759767e-06,1.418360948562622
1780765639.4534166,3.008253887816975,-6.281517290348855e-08,0.21831118714316483,7.346144772490959e-06,1.4564576148986816
1780765639.4965906,3.0081230445860974,-6.188543304489338e-08,0.21938046305720887,7.34617088404832e-06,1.499631643295288
1780765639.533953,3.0080264386938493,-6.120698685121576e-08,0.21858389356717833,7.346196815305461e-06,1.5369939804077148
1780765639.5752132,3.0079196238432355,-6.04523386932544e-08,0.21834783320689005,7.346221257087393e-06,1.578254222869873
1780765639.6189044,3.007788757359025,-5.951910115318239e-08,0.21934336268687984,7.346243167560829e-06,1.6219453811645508
1780765639.6573822,3.0076942011429586,-5.8851274462607094e-08,0.21842314261150222,7.346263590335411e-06,1.6604232788085938
1780765639.7015884,3.007578687289186,-5.802616790534331e-08,0.21863171725129465,7.346279571329717e-06,1.7046294212341309
