t,state,time_s
1780876719.5637136,SEARCH,0.0778343677520752
1780876719.6636736,SEARCH,0.1777944564819336
1780876719.7637246,SEARCH,0.2778453826904297
1780876719.8637283,SEARCH,0.37784910202026367
1780876719.9638984,SEARCH,0.47801923751831055
1780876720.0638533,SEARCH,0.5779740810394287
1780876720.163753,SEARCH,0.6778738498687744
1780876720.2639277,SEARCH,0.7780485153198242
1780876720.363719,SEARCH,0.8778398036956787
1780876720.4639397,SEARCH,0.9780604839324951
1780876720.563696,SEARCH,1.0778167247772217
1780876720.6637955,SEARCH,1.1779162883758545
1780876720.763774,SEARCH,1.2778947353363037
1780876720.864051,SEARCH,1.3781719207763672
1780876720.9637127,SEARCH,1.4778335094451904
1780876721.0640273,SEARCH,1.5781481266021729
1780876721.1637838,SEARCH,1.6779046058654785
1780876721.2637374,SEARCH,1.7778582572937012
1780876721.363658,SEARCH,1.8777787685394287
1780876721.464706,SEARCH,1.9788267612457275
1780876721.564051,SEARCH,2.078171730041504
1780876721.6637218,SEARCH,2.177842617034912
1780876721.7637157,SEARCH,2.277836561203003
1780876721.8640072,SEARCH,2.3781280517578125
1780876721.963706,SEARCH,2.4778268337249756
1780876722.063737,SEARCH,2.577857732772827
1780876722.1640346,SEARCH,2.6781554222106934
1780876722.263733,SEARCH,2.7778537273406982
1780876722.363884,SEARCH,2.878004789352417
1780876722.4640045,SEARCH,2.9781253337860107
1780876722.5640903,SEARCH,3.0782110691070557
1780876722.6637256,SEARCH,3.1778464317321777
1780876722.7638557,SEARCH,3.2779765129089355
1780876722.8642488,WAIT_FOR_STABLE_TAG,3.3783695697784424
1780876722.9637313,WAIT_FOR_STABLE_TAG,3.4778521060943604
1780876723.063802,WAIT_FOR_STABLE_TAG,3.577922821044922
1780876723.1637492,WAIT_FOR_STABLE_TAG,3.677870035171509
1780876723.263839,WAIT_FOR_STABLE_TAG,3.7779598236083984
1780876723.3642612,ALIGN_CENTERLINE,3.8783819675445557
1780876723.4638338,ALIGN_CENTERLINE,3.977954626083374
1780876723.5637584,ALIGN_CENTERLINE,4.077879190444946
1780876723.664061,ALIGN_CENTERLINE,4.178181886672974
1780876723.7637422,ALIGN_CENTERLINE,4.277863025665283
1780876723.8640475,ALIGN_CENTERLINE,4.378168344497681
1780876723.9638345,ALIGN_CENTERLINE,4.477955341339111
1780876724.0641074,ALIGN_CENTERLINE,4.578228235244751
1780876724.1641078,ALIGN_CENTERLINE,4.6782286167144775
1780876724.2638202,ALIGN_CENTERLINE,4.777940988540649
1780876724.3640976,RECOVERING,4.878218412399292
1780876724.4647694,WAIT_FOR_STABLE_TAG,4.9788901805877686
1780876724.563809,WAIT_FOR_STABLE_TAG,5.077929735183716
