t,x,y,z,yaw,time_s
1780768728.3796732,4.007223600428723,-4.004170488688299,0.21858940518144157,0.523592653589855,0.10922384262084961
1780768728.4190316,4.007128238623926,-4.004115432303031,0.2187783744978873,0.523592653589855,0.14858222007751465
1780768728.464543,4.00703953975466,-4.004064222711,0.21848959576300084,0.5235926535898567,0.1940937042236328
1780768728.507516,4.006946776535455,-4.004010666598615,0.21856764129941145,0.5235926535898567,0.23706650733947754
1780768728.5547516,4.006853349073899,-4.003956726991152,0.218623472757215,0.5235926535898567,0.2843022346496582
1780768728.5982099,4.00676823818854,-4.00390758889331,0.21832074905467933,0.5235926535898567,0.3277604579925537
1780768728.6376958,4.006668589074467,-4.003850057263877,0.218853226958912,0.5235926535898567,0.3672463893890381
1780768728.6769366,4.00659042757183,-4.003804931337293,0.21821339541683096,0.5235926535898567,0.40648722648620605
1780768728.7103422,4.00649026161405,-4.003747101312226,0.21892008036198074,0.523592653589855,0.4398927688598633
1780768728.754947,4.006414094922252,-4.003703127073935,0.21823989571412142,0.523592653589855,0.4844975471496582
1780768728.796564,4.006319706707772,-4.003648632783356,0.21875520484627445,0.523592653589855,0.5261147022247314
1780768728.8327215,4.0062427329825665,-4.003604192610696,0.21820904446214395,0.5235926535898585,0.5622720718383789
1780768728.8730218,4.0061564869957,-4.003554399170955,0.21836591916571715,0.5235926535898567,0.6025724411010742
1780768728.9172156,4.006070561137599,-4.0035047905550325,0.21847593048063388,0.5235926535898567,0.646766185760498
1780768728.9466174,4.005997698171868,-4.003462723696908,0.21798763369881896,0.5235926535898585,0.6761679649353027
1780768728.9870498,4.0059032706413165,-4.003408206707501,0.21881485965395753,0.5235926535898585,0.7166004180908203
1780768729.0203834,4.005839255735123,-4.003371248206711,0.2179063338860434,0.5235926535898585,0.7499339580535889
1780768729.064166,4.0057581590316245,-4.003324427665081,0.21813359688495867,0.5235926535898585,0.7937166690826416
1780768729.1074615,4.005671779576807,-4.003274557168674,0.21870430113365466,0.5235926535898594,0.8370120525360107
1780768729.143757,4.005613403825704,-4.003240854389562,0.21778326743238832,0.5235926535898585,0.8733077049255371
1780768729.1869967,4.0055300029530265,-4.003192703554041,0.21844484432752737,0.5235926535898594,0.9165472984313965
1780768729.226412,4.0054624205941725,-4.003153685412617,0.2181699170735489,0.5235926535898585,0.9559626579284668
1780768729.2704723,4.005402130783339,-4.0031188775662265,0.2176556602477308,0.5235926535898585,1.0000228881835938
1780768729.3076167,4.005317331528098,-4.003069919385572,0.2186856980385749,0.5235926535898585,1.0371673107147217
1780768729.3418782,4.005263141237886,-4.003038633049268,0.21797269127447133,0.5235926535898585,1.0714287757873535
1780768729.383469,4.005205184959455,-4.003005172449391,0.2176419729498658,0.5235926535898594,1.1130197048187256
1780768729.4194996,4.00512610926362,-4.002959518720577,0.21864540373167138,0.5235926535898612,1.149050235748291
1780768729.463736,4.005081014172678,-4.00293348342578,0.21776234665602665,0.5235926535898603,1.193286657333374
1780768729.5008676,4.005021357199786,-4.002899040943381,0.21789057868445255,0.5235926535898621,1.2304182052612305
1780768729.5367527,4.00495382389442,-4.002860051122601,0.21854441936067528,0.5235926535898621,1.266303300857544
1780768729.5818295,4.0049170991018475,-4.002838848353495,0.21757031768760698,0.5235926535898621,1.31138014793396
1780768729.6170115,4.004856172280901,-4.002803672734345,0.21814574562854813,0.5235926535898621,1.346562147140503
