t,x,y,z,yaw,time_s
1780764937.28809,4.010674213557775,-1.0000000784171326,0.2196092519909975,7.346408320785258e-06,0.0
1780764937.366631,4.010688548304116,-1.0000000785224414,0.21866376212027225,7.346408320785258e-06,0.07854104042053223
1780764937.366668,4.010674515060029,-1.0000000784193477,0.2191350744396488,7.346408320785258e-06,0.07857799530029297
1780764937.3666718,4.010665429514082,-1.0000000783526017,0.21913624632186257,7.346408320785258e-06,0.0785818099975586
1780764937.3666763,4.010664273838761,-1.0000000783441116,0.21869264323628804,7.346408320785258e-06,0.07858633995056152
1780764937.3666766,4.010635506307252,-1.0000000781327736,0.21956784730586176,7.346408320785258e-06,0.07858657836914062
1780764937.3666766,4.0106368328207695,-1.0000000781425182,0.21870504191712645,7.346408319008901e-06,0.07858657836914062
1780764937.3666768,4.010615566376572,-1.000000077986286,0.21897283629443906,7.346408315456188e-06,0.07858681678771973
1780764937.3666768,4.010588042708688,-1.000000077784086,0.21938936646567953,7.346408311903474e-06,0.07858681678771973
1780764937.366677,4.0105843999932,-1.0000000777573255,0.21848522401585027,7.3464083065744035e-06,0.07858705520629883
1780764937.3964598,4.010548331935679,-1.0000000774923548,0.21920590638743717,7.3464083065744035e-06,0.10836982727050781
1780764937.4408083,4.010522617247068,-1.000000077303444,0.21918070253328714,7.34640830835076e-06,0.15271830558776855
1780764937.477136,4.010509831617317,-1.000000077209516,0.2184458780333549,7.3464083065744035e-06,0.18904590606689453
1780764937.521131,4.0104644719687,-1.0000000768762853,0.21934988218924678,7.346408302133511e-06,0.23304104804992676
1780764937.5553834,4.010438188259662,-1.0000000766831947,0.21904202093190628,7.346408297692619e-06,0.26729345321655273
1780764937.5971427,4.010416105781723,-1.0000000765209676,0.21849194109109238,7.346408298580798e-06,0.3090527057647705
1780764937.6421676,4.010363005302431,-1.0000000761308694,0.2194876046527023,7.346408297692619e-06,0.3540775775909424
1780764937.6759074,4.010338163706367,-1.000000075948373,0.2188358348278128,7.3464082959162624e-06,0.3878173828125
1780764937.7135623,4.010302298743218,-1.0000000756848941,0.21873381256189736,7.3464082959162624e-06,0.4254722595214844
1780764937.7461858,4.010247862193054,-1.000000075284981,0.21947672180604066,7.346408294139906e-06,0.4580957889556885
1780764937.7907882,4.0102228520289,-1.000000075101246,0.21859785244752367,7.346408290587192e-06,0.5026981830596924
1780764937.830469,4.01016879639368,-1.0000000747041313,0.2192003884308626,7.3464082896990135e-06,0.5423789024353027
1780764937.8663983,4.010127841068011,-1.0000000744032569,0.2189206034954933,7.346408285258121e-06,0.5783083438873291
1780764937.907751,4.01008742655507,-1.0000000741063557,0.21861316723864505,7.3464082834817646e-06,0.6196610927581787
1780764937.9408581,4.010021881151766,-1.0000000736248325,0.21952743815989237,7.346408285258121e-06,0.6527681350708008
1780764937.9835114,4.009990599710599,-1.0000000733950263,0.21852813449317274,7.346408279929051e-06,0.6954214572906494
1780764938.0238945,4.009936722432706,-1.0000000729992213,0.2186734706777056,7.346408278152694e-06,0.735804557800293
1780764938.06057,4.009867764424614,-1.000000072492627,0.21951405525378961,7.346408276376337e-06,0.7724800109863281
1780764938.102102,4.0098346393383935,-1.0000000722492766,0.2184080064794536,7.34640827459998e-06,0.8140120506286621
1780764938.1380336,4.009773145676272,-1.000000071797519,0.21873978357106053,7.3464082728236235e-06,0.8499436378479004
1780764938.1822648,4.009703072172285,-1.0000000712827306,0.2194190915721143,7.3464082728236235e-06,0.8941748142242432
