t,x,y,z,yaw,time_s
1780877250.8779342,4.968514773580436,3.007748131644541,0.21784004034802013,-1.4689603532385467,0.048085927963256836
1780877250.902685,4.968451212586931,3.0078154092001297,0.21787108412709927,-1.4670407270918886,0.07283663749694824
1780877250.923447,4.968491873898792,3.0078727095277715,0.21781583501496987,-1.4649610628655467,0.09359860420227051
1780877250.9498427,4.9684486373279695,3.007938388976925,0.21778208455265233,-1.463013734883153,0.1199944019317627
1780877250.9723573,4.968455742183645,3.0079988570802496,0.21775076453603212,-1.460984851891131,0.14250898361206055
1780877250.9988573,4.968432219012846,3.0080617105529672,0.21774190968565688,-1.4590077064638833,0.16900897026062012
1780877251.0210156,4.968404348394522,3.008124881741253,0.21773472826296075,-1.4570340058874125,0.19116735458374023
1780877251.0417292,4.968440784414963,3.008179769508012,0.21777190117248613,-1.4549665354304522,0.21188092231750488
1780877251.0637302,4.968415057258392,3.0082419391246433,0.21780062995029503,-1.4529897120837456,0.23388195037841797
1780877251.0844162,4.968360388315701,3.0083080592653606,0.217785126147265,-1.4510610108796596,0.25456786155700684
1780877251.1076887,4.968440938694727,3.0083580351829564,0.2177317379585231,-1.4489245533326678,0.27784037590026855
1780877251.1320388,4.9683499612018,3.0084256045213236,0.21786644332718966,-1.447051552214326,0.30219054222106934
1780877251.1550486,4.968415082139169,3.008478568237179,0.21775661051893633,-1.4449406909930103,0.32520031929016113
1780877251.1818755,4.968336148360487,3.0085456194433484,0.21781886530542255,-1.4430507918854514,0.35202717781066895
1780877251.204383,4.968340294888265,3.0086040410654395,0.2178067539174188,-1.4410315011696921,0.37453460693359375
1780877251.230729,4.968351659834219,3.0086604547362183,0.21782819374315904,-1.4390054395480434,0.4008808135986328
1780877251.2549613,4.968335102297096,3.0087217332639313,0.21778698105550587,-1.4370209444235424,0.4251129627227783
1780877251.2762747,4.96830101363731,3.008784110522513,0.21780582815815577,-1.4350634641695428,0.4464263916015625
1780877251.3037007,4.968333488342387,3.0088378672769402,0.21777748979379813,-1.4330038445978373,0.47385239601135254
1780877251.328117,4.96831813133282,3.0088974628890424,0.21779605008964237,-1.4310201995837848,0.49826860427856445
1780877251.3494778,4.9682509976828975,3.008964632245128,0.21778018171125405,-1.4291149228451232,0.5196294784545898
1780877251.3738544,4.968302105220644,3.0090146833126954,0.21776683338614178,-1.4270281265411362,0.5440061092376709
1780877251.4001694,4.968270028259926,3.0090770646139386,0.2177542336544007,-1.425070644602906,0.5703210830688477
1780877251.4175336,4.968301016086991,3.0091292104560337,0.21778213846377267,-1.4230163791716324,0.5876853466033936
1780877251.443031,4.968254491431728,3.009193687838761,0.21774918540465701,-1.4210822208786247,0.613182783126831
1780877251.4635725,4.968270680457734,3.00924870442415,0.21773033834497077,-1.419051601637354,0.6337242126464844
1780877251.4848588,4.968215949119415,3.0093140800078504,0.21772638733622385,-1.4171302288117866,0.655010461807251
1780877251.5090253,4.968267969153749,3.00936009099723,0.21785421527294668,-1.4150450087850597,0.6791770458221436
1780877251.5299993,4.96819536972513,3.0094295047202055,0.21778669636021963,-1.4131539295905913,0.7001509666442871
1780877251.5524864,4.968224261932195,3.009481029488656,0.21779507492709282,-1.4111032246332367,0.7226381301879883
1780877251.573434,4.96819129520622,3.0095443704177662,0.2177370691352669,-1.4091544359331658,0.7435858249664307
1780877251.5963767,4.968248326386653,3.0095920885830463,0.21770889378706848,-1.407062673540363,0.7665283679962158
