t,x,z,yaw,time_s
1780877253.9345741,0.0,1.2,-0.7709611952092966,3.1047258377075195
1780877254.034161,0.0,1.2,-0.7706335272035764,3.204312801361084
1780877254.1344526,0.0,1.2,-0.7698997802669003,3.3046042919158936
1780877254.2340357,0.0,1.2,-0.7696218530764771,3.4041874408721924
1780877254.334082,0.0,1.2,-0.7682033933704161,3.5042335987091064
1780877254.4342492,0.0,1.2,-0.7666773457445388,3.604400873184204
1780877254.5340478,0.0,1.2,-0.7649083201307711,3.7041995525360107
1780877254.6341004,0.0,1.2,-0.7629015550457654,3.8042521476745605
1780877254.7341049,0.0,1.2,-0.7618749127143836,3.904256582260132
1780877254.8341637,0.0,1.2,-0.7611349593067798,4.004315376281738
1780877254.9340305,0.0,1.2,-0.759616975489352,4.104182243347168
1780877255.0342271,0.0,1.2,-0.758538311937982,4.204378843307495
1780877255.1340847,0.0,1.2,-0.7573118511121584,4.30423641204834
1780877255.2339776,0.0,1.2,-0.7559589368988358,4.404129266738892
1780877255.334458,0.0,1.2,-0.7557789219553118,4.504609823226929
1780877255.4346967,0.0,1.2,-0.7554406949471393,4.604848384857178
1780877255.5342274,0.0,1.2,-0.7551567986268503,4.704379081726074
1780877255.6344597,0.0,1.2,-0.7552954076153052,4.804611444473267
1780877255.7349746,0.0,1.2,-0.7544443736650526,4.905126333236694
1780877255.834063,0.0,1.2,-0.7528301541314797,5.004214763641357
1780877255.93414,0.0,1.2,-0.7514390310560529,5.104291677474976
1780877256.034179,0.0,1.2,-0.749936467675161,5.204330682754517
1780877256.1341286,0.0,1.2,-0.7479042241291233,5.3042802810668945
1780877256.234038,0.0,1.2,-0.7453551482692972,5.404189825057983
1780877256.3341825,0.0,1.2,-0.7425821161709902,5.504334211349487
1780877256.4343963,0.0,1.2,-0.7403356747872032,5.60454797744751
1780877257.1347868,0.0,1.2,-0.7389764429612936,6.304938554763794
1780877257.2341862,0.0,1.2,-0.7370739173736711,6.4043378829956055
1780877257.3340738,0.0,1.2,-0.7356543525525684,6.504225492477417
1780877257.4341338,0.0,1.2,-0.7342730542318637,6.604285478591919
1780877257.5342834,0.0,1.2,-0.7328740844474128,6.704435110092163
1780877257.6340163,0.0,1.2,-0.731366633915638,6.804167985916138
1780877257.7341044,0.0,1.2,-0.7299081171444844,6.904256105422974
1780877257.8344383,0.0,1.2,-0.727806705726394,7.004590034484863
1780877257.9340992,0.0,1.2,-0.725543228429916,7.104250907897949
1780877258.034021,0.0,1.2,-0.7230595831722948,7.204172611236572
1780877258.1339962,0.0,1.2,-0.7215810285253,7.304147958755493
1780877258.2344322,0.0,1.2,-0.7204789877613444,7.404583930969238
1780877258.3340821,0.0,1.2,-0.7201250196640303,7.5042338371276855
1780877258.4341877,0.0,1.2,-0.7199694197617665,7.604339361190796
1780877258.5343032,0.0,1.2,-0.7200157751778611,7.7044548988342285
1780877258.6344812,0.0,1.2,-0.7194892272545196,7.804632902145386
1780877258.7344205,0.0,1.2,-0.7177000710977749,7.904572248458862
1780877258.8341951,0.0,1.2,-0.716287642877165,8.00434684753418
1780877258.9343672,0.0,1.2,-0.7149446579111299,8.10451889038086
1780877259.0340118,0.0,1.2,-0.7124327057772021,8.204163551330566
1780877259.134176,0.0,1.2,-0.7103110850291351,8.304327726364136
1780877259.2340424,0.0,1.2,-0.7082727989065067,8.404194116592407
