t,u,r,time_s
1780877250.8339386,0.0,0.12,0.004090309143066406
1780877250.9340653,0.0,0.12,0.1042170524597168
1780877251.0343044,0.0,0.12,0.20445609092712402
1780877251.1351006,0.0,0.12,0.3052523136138916
1780877251.2339578,0.0,0.12,0.40410947799682617
1780877251.334144,0.0,0.12,0.504295825958252
1780877251.4340591,0.0,0.12,0.6042108535766602
1780877251.5343645,0.0,0.12,0.7045161724090576
1780877251.6340606,0.0,0.12,0.8042123317718506
1780877251.7342083,0.0,0.12,0.9043600559234619
1780877251.8342927,0.0,0.09999999999999999,1.0044443607330322
1780877251.9339895,0.0,0.07999999999999999,1.1041412353515625
1780877252.0343778,0.0,0.059999999999999984,1.2045295238494873
1780877252.1343591,0.0,0.03999999999999998,1.3045108318328857
1780877252.2339928,0.0,0.01999999999999998,1.404144525527954
1780877252.3340235,0.0,-2.0816681711721685e-17,1.5041751861572266
1780877252.4348004,0.0,-0.02000000000000002,1.604952096939087
1780877252.5340018,0.0,-0.04000000000000002,1.7041535377502441
1780877252.6341162,0.0,-0.060000000000000026,1.8042678833007812
1780877252.7339423,0.0,-0.08000000000000003,1.9040939807891846
1780877252.8341305,0.0,-0.10000000000000003,2.004282236099243
1780877252.9340174,0.0,-0.12,2.1041691303253174
1780877253.0340967,0.0,-0.12,2.2042484283447266
1780877253.1343668,0.0,-0.12,2.304518461227417
1780877253.2340512,0.0,-0.12,2.404202938079834
1780877253.3340445,0.0,-0.12,2.5041961669921875
1780877253.4342084,0.0,-0.09999999999999999,2.6043601036071777
1780877253.5340931,0.0,-0.07999999999999999,2.70424485206604
1780877253.6339428,0.0,-0.059999999999999984,2.8040945529937744
1780877253.7340062,0.0,-0.03999999999999998,2.904157876968384
1780877253.8340085,0.0,-0.01999999999999998,3.004160165786743
1780877253.9346154,-0.1,-0.027661612869240303,3.104767084121704
1780877254.0342062,-0.1,-0.023491380437298696,3.204357862472534
1780877254.134512,-0.1,-0.021845632332900954,3.30466365814209
1780877254.234045,-0.1,-0.02154848849948453,3.4041967391967773
1780877254.3341188,-0.1,-0.020801592120101575,3.504270553588867
1780877254.4343064,-0.1,-0.020840388384810837,3.6044580936431885
1780877254.5340865,-0.1,-0.021107019571211343,3.704238176345825
1780877254.6341472,-0.1,-0.021461846095515606,3.8042988777160645
1780877254.734141,-0.1,-0.022683133071522515,3.9042928218841553
1780877254.8342307,-0.1,-0.023564025619321312,4.004382371902466
1780877254.934064,-0.1,-0.02400620254917445,4.104215621948242
1780877255.0342689,-0.1,-0.02504842307876297,4.204420566558838
1780877255.1341233,-0.1,-0.025914400055928714,4.304275035858154
1780877255.233996,-0.1,-0.02672830807505009,4.404147624969482
1780877255.334508,-0.1,-0.0282824745907021,4.504659652709961
1780877255.434753,-0.1,-0.029290048654690242,4.604904651641846
1780877255.5342743,-0.1,-0.03041429671262941,4.704426050186157
1780877255.6344976,-0.1,-0.031697606686606115,4.804649353027344
1780877255.7350862,-0.1,-0.032213987301757015,4.905237913131714
1780877255.8341033,-0.1,-0.03291873720651757,5.004255056381226
1780877255.9341936,-0.1,-0.034026958674242935,5.104345321655273
1780877256.0342197,-0.1,-0.03499014708139247,5.204371452331543
1780877256.1341789,-0.1,-0.03576684546084142,5.304330587387085
1780877256.2340753,-0.1,-0.036490309632602226,5.404227018356323
1780877256.3342247,-0.1,-0.03728831961965733,5.504376411437988
1780877256.4344337,-0.1,-0.038437830565688495,5.604585409164429
1780877256.5342705,0.0,-0.05843783056568849,5.704422235488892
1780877256.6343932,0.0,-0.03843783056568849,5.804544925689697
1780877256.73402,0.0,-0.018437830565688488,5.904171705245972
1780877256.8342805,0.0,0.0,6.004432201385498
1780877256.9342165,0.0,0.0,6.104368209838867
1780877257.034345,0.0,0.0,6.204496622085571
1780877257.134904,-0.1,-0.02,6.305055618286133
1780877257.2344189,-0.1,-0.04,6.404570579528809
1780877257.334114,-0.1,-0.041167986211074314,6.504265785217285
1780877257.4341946,-0.1,-0.041537980877066685,6.60434627532959
1780877257.534328,-0.1,-0.04192108971067436,6.704479694366455
1780877257.634028,-0.1,-0.04226578586715747,6.804179668426514
1780877257.7341352,-0.1,-0.04281367584591196,6.904286861419678
1780877257.8345354,-0.1,-0.042959346748058326,7.004687070846558
1780877257.9341245,-0.1,-0.04338223042201667,7.104276180267334
1780877258.0340471,-0.1,-0.04378895283626608,7.204198837280273
1780877258.1340246,-0.1,-0.044717138090572484,7.304176330566406
1780877258.234467,-0.1,-0.04527217426356359,7.404618740081787
1780877258.3341265,-0.1,-0.04604965406070416,7.504278182983398
1780877258.4342341,-0.1,-0.046475818489398794,7.604385852813721
1780877258.5343359,-0.1,-0.04686874600842603,7.704487562179565
1780877258.6344922,-0.1,-0.04691084994686623,7.804643869400024
1780877258.7344372,-0.1,-0.046627810366453463,7.904588937759399
1780877258.8342369,-0.1,-0.047158397727036575,8.004388570785522
1780877258.934407,-0.1,-0.047403428839739886,8.10455870628357
1780877259.0340374,-0.1,-0.04714927202122713,8.20418906211853
1780877259.1342304,-0.1,-0.04758241247079961,8.304382085800171
1780877259.2340724,-0.1,-0.04777634757794176,8.404224157333374
1780877259.334142,-0.1,-0.04749110781204852,8.50429368019104
1780877259.4341092,-0.1,-0.047573190481109036,8.604260921478271
1780877259.5342603,-0.1,-0.04841402889609456,8.70441198348999
1780877259.6342154,-0.1,-0.048376433172975304,8.804367065429688
1780877259.7341118,-0.1,-0.04866299029948586,8.904263496398926
1780877259.8346326,-0.1,-0.0482704892970419,9.004784345626831
1780877259.9340339,-0.1,-0.048669492548702974,9.104185581207275
1780877260.0342064,-0.1,-0.04843928536120085,9.204358100891113
1780877260.1340249,-0.1,-0.04864762070585463,9.304176568984985
1780877260.2340758,-0.1,-0.04844164023925942,9.404227495193481
1780877260.334556,-0.1,-0.04818056225329553,9.50470781326294
1780877260.4345226,-0.1,-0.0477654536367215,9.604674339294434
1780877260.534128,-0.1,-0.04825684914490339,9.704279661178589
1780877260.63429,-0.1,-0.048072373886840415,9.804441690444946
1780877260.734001,-0.1,-0.04799164992213233,9.904152631759644
1780877260.834152,-0.1,-0.048260067785250306,10.004303693771362
1780877260.9342682,-0.1,-0.04839813705453432,10.104419946670532
1780877261.0345914,-0.1,-0.04841695097969609,10.204743146896362
1780877261.1343079,-0.1,-0.04736304744105767,10.304459571838379
1780877261.2341065,-0.1,-0.04731253081675787,10.404258251190186
1780877261.3347185,-0.1,-0.046876853714831634,10.504870176315308
1780877261.434394,-0.1,-0.047179750844464415,10.604545593261719
1780877261.5341353,-0.1,-0.046935009308648544,10.704287052154541
