t,x,z,yaw,time_s
1780877251.8302305,2.540933176296965,5.071336453055652,-1.2163177491822268,1.0003821849822998
1780877251.9302075,2.541401862732175,5.072377654655118,-1.211186187613265,1.1003592014312744
1780877252.030516,2.5416423512031696,5.072791781511969,-1.2088861888751867,1.2006676197052002
1780877252.1299865,2.5416423512031696,5.072791781511969,-1.2088861888751867,1.300138235092163
1780877252.2299166,2.5416423512031696,5.072791781511969,-1.2088861888751867,1.4000682830810547
1780877252.3299658,2.5416423512031696,5.072791781511969,-1.2088861888751867,1.500117540359497
1780877252.4302049,2.5416423512031696,5.072791781511969,-1.2088861888751867,1.6003565788269043
1780877252.5299678,2.5416423512031696,5.072791781511969,-1.2088861888751867,1.7001194953918457
1780877252.62993,2.5416423512031696,5.072791781511969,-1.2088861888751867,1.800081729888916
1780877252.7300124,2.5416423512031696,5.072791781511969,-1.2088861888751867,1.9001641273498535
1780877252.8301346,2.5416423512031696,5.072791781511969,-1.2088861888751867,2.000286340713501
1780877252.929953,2.5416423512031696,5.072791781511969,-1.2088861888751867,2.100104808807373
1780877253.0298393,2.5416423512031696,5.072791781511969,-1.2088861888751867,2.19999098777771
1780877253.130308,2.5416423512031696,5.072791781511969,-1.2088861888751867,2.300459623336792
1780877253.2299488,2.5416423512031696,5.072791781511969,-1.2088861888751867,2.4001004695892334
1780877253.3299189,2.5416423512031696,5.072791781511969,-1.2088861888751867,2.500070571899414
1780877253.430213,2.501707081771687,5.070122578678716,-1.1204659003218151,2.6003646850585938
1780877253.5304587,2.436183271068427,5.0941406842605845,-1.040767169290882,2.700610399246216
1780877253.6305435,2.4174878009978564,5.103005336637629,-0.9850386532422856,2.8006951808929443
1780877253.7300975,2.4151223304391554,5.096734190604821,-0.946323333021143,2.9002492427825928
1780877253.830583,2.4043748716427835,5.100347805340878,-0.9154087883638639,3.000734806060791
1780877253.930168,2.4288375844857777,5.0798921016097385,-0.9020588865327103,3.1003196239471436
1780877254.0305476,2.4235353139064997,5.084494453319165,-0.8875639933233906,3.2006993293762207
1780877254.130043,2.415395433417217,5.095561988292989,-0.877799879782884,3.30019474029541
1780877254.2304707,2.4191958900052084,5.091547918570573,-0.8751773298268375,3.4006223678588867
1780877254.330369,2.399523591101174,5.103020938379197,-0.8696070591903173,3.500520706176758
1780877254.4301775,2.391002619743323,5.115431499253841,-0.8675869898155995,3.6003291606903076
1780877254.5299664,2.3798457831896505,5.1246387237242095,-0.8665806913827774,3.700118064880371
1780877254.630088,2.367668751851402,5.139225392384804,-0.8658096700788129,3.8002398014068604
1780877254.7301629,2.373652722295676,5.134926062436264,-0.870141962301193,3.9003145694732666
1780877254.830142,2.3733151731727653,5.13426270508596,-0.8733175842795873,4.000293731689453
1780877254.9306324,2.3575213336180867,5.142681059887341,-0.8735494586562597,4.100784063339233
1780877255.030009,2.357268265504249,5.145225310705192,-0.8769527507193375,4.20016074180603
1780877255.129967,2.349858382480569,5.145254225240129,-0.879481804173815,4.300118684768677
1780877255.2305596,2.3421105149600083,5.150419998987548,-0.8815857246441219,4.400711297988892
1780877255.330075,2.354141235264613,5.1347465724774715,-0.8883390095085608,4.500226736068726
1780877255.4301984,2.3508068511462716,5.121623066901912,-0.8924747777273276,4.6003501415252686
1780877255.5299559,2.350066821813707,5.107264981615681,-0.8970828345952915,4.700107574462891
1780877255.6307478,2.355367625575716,5.089076149458954,-0.9028626296691197,4.800899505615234
1780877255.730094,2.340498534881608,5.086458137258294,-0.9040237944671449,4.900245666503906
