t,x,z,yaw,time_s
1780877251.738196,2.6057782590294587,5.062834446261621,-1.231512660331498,0.9083476066589355
1780877251.7743187,2.5326764990666675,5.112769091284682,-1.2120165979496602,0.9444704055786133
1780877251.8174665,2.545012668775951,5.050865247590618,-1.217168642086011,0.9876182079315186
1780877251.8521805,2.5383206448683433,5.044292216831466,-1.2137585185566968,1.0223321914672852
1780877251.8887048,2.526148638586911,5.094820666731056,-1.204093796952166,1.05885648727417
1780877251.9232755,2.5419498512462777,5.07442991480579,-1.205476132963676,1.0934271812438965
1780877251.9942415,2.556359037898705,5.077129777551712,-1.1994689440682875,1.1643931865692139
1780877253.387068,2.287539226470064,5.150876208777453,-0.9303720098704443,2.5572197437286377
1780877253.4243257,2.399551687251481,5.063294692642958,-0.950289316245418,2.594477415084839
1780877253.4586654,2.3932664147348848,5.0631633089505845,-0.9453843241283801,2.628817081451416
1780877253.4943428,2.2690575873642924,5.1606583607654075,-0.9158574018786495,2.664494514465332
1780877253.5336223,2.3958192071443127,5.041893354432241,-0.9413836290192795,2.7037739753723145
1780877253.5643487,2.43673353044535,5.070549804867285,-0.9433755753547116,2.7345004081726074
1780877253.602229,2.4007485503808423,5.1193369562668165,-0.9317387513723614,2.772380828857422
1780877253.6459544,2.4027190117893333,5.111887649432574,-0.9302093368443094,2.816106081008911
1780877253.6727557,2.420274014798033,5.075559888203831,-0.9336005061783905,2.842907428741455
1780877253.708615,2.446043527543859,5.068718575894262,-0.9365399020451116,2.8787667751312256
1780877253.7510881,2.3858853939071256,5.121601478843947,-0.9217769605109134,2.9212398529052734
1780877253.7829719,2.4474727716245477,5.094298135569355,-0.9317114008683186,2.9531235694885254
1780877253.8185613,2.407604282373307,5.103858327531339,-0.9235657776114783,2.988713026046753
1780877253.8512027,2.460420629105861,5.078185245894314,-0.9328565013520103,3.0213544368743896
1780877253.8865278,2.418960118707947,5.1129142204973,-0.9235670549071842,3.0566794872283936
1780877253.919899,2.5304562668549555,5.015335118496609,-0.9474589401560384,3.09005069732666
1780877253.9572508,2.5023490908720776,5.063618148883149,-0.9393658452023045,3.1274025440216064
1780877253.9903579,2.4276629785864703,5.099549717583851,-0.9257411636799673,3.1605095863342285
1780877254.0355136,2.494466368036259,5.026718423757775,-0.9423915634872213,3.205665349960327
1780877254.0689313,2.5145583293281035,5.044707519417819,-0.9452524385461608,3.2390830516815186
1780877254.1031084,2.4106357605119517,5.128179053190386,-0.9241621112354439,3.2732601165771484
1780877254.1395845,2.378917912698947,5.144133508506504,-0.9191777952573839,3.3097362518310547
1780877254.174242,2.4250812485270594,5.139138122331227,-0.9272633727658517,3.344393730163574
1780877254.212101,2.451549015472506,5.074917319544464,-0.9371611473965143,3.3822526931762695
1780877254.2489493,2.4003298972569094,5.13458850476728,-0.9250292325147812,3.4191009998321533
1780877254.291021,2.3920833112862017,5.145502557764503,-0.9233716930346039,3.4611728191375732
1780877254.323889,2.354361724284164,5.137128648045395,-0.9189411384207055,3.4940407276153564
1780877254.3692067,2.5126164975743253,5.068607720868715,-0.9492710451692042,3.539358377456665
1780877254.393509,2.3862136406890544,5.1501228233888865,-0.924483828167587,3.5636606216430664
1780877254.4296951,2.4852277411319506,5.045447997723998,-0.9482879891988085,3.599846839904785
1780877254.4682724,2.3858693526650177,5.104644420967468,-0.9291321110662476,3.6384241580963135
1780877254.5002053,2.366251006898259,5.145883926420615,-0.9233496568187293,3.6703569889068604
1780877254.544217,2.5545994026302736,4.985536455088035,-0.9650289902141996,3.7143688201904297
1780877254.5703344,2.4171991684727696,5.09006453710655,-0.9363586594463894,3.7404861450195312
