t,u,r,time_s
1780859440.6865366,0.0,0.12,0.01609039306640625
1780859440.7863362,0.0,0.12,0.1158900260925293
1780859440.8863926,0.0,0.12,0.21594643592834473
1780859440.9869561,0.0,0.12,0.3165099620819092
1780859441.0863924,0.0,0.12,0.41594624519348145
1780859441.1863735,0.0,0.12,0.5159273147583008
1780859441.2865083,0.0,0.12,0.6160621643066406
1780859441.386304,0.0,0.12,0.715857744216919
1780859441.4863985,0.0,0.12,0.8159523010253906
1780859441.8769412,0.0,0.12,1.2064950466156006
1780859441.8778336,0.0,0.12,1.2073874473571777
1780859441.8788462,0.0,0.12,1.208400011062622
1780859441.8866367,0.0,0.12,1.2161905765533447
1780859441.9863203,0.0,0.12,1.3158740997314453
1780859442.0865703,0.0,0.12,1.4161241054534912
1780859442.1867046,0.0,0.12,1.5162584781646729
1780859442.286499,0.0,0.12,1.6160528659820557
1780859442.3863816,0.0,0.12,1.715935468673706
1780859442.4866974,0.0,0.12,1.816251277923584
1780859442.5863929,0.0,0.12,1.9159467220306396
1780859442.6864047,0.0,0.12,2.015958547592163
1780859442.7864373,0.0,0.12,2.1159911155700684
1780859442.8863134,0.0,0.12,2.215867280960083
1780859442.986771,0.0,0.12,2.3163249492645264
1780859443.0863175,0.0,0.12,2.4158713817596436
1780859443.1865501,0.0,0.12,2.516103982925415
1780859443.2865183,0.0,0.12,2.616072177886963
1780859443.386386,0.0,0.12,2.71593976020813
1780859443.4862847,0.0,0.12,2.815838575363159
1780859443.5866456,0.0,0.09999999999999999,2.9161994457244873
1780859443.6866648,0.0,0.07999999999999999,3.016218662261963
1780859443.786457,0.0,0.059999999999999984,3.116010904312134
1780859443.886422,0.0,0.03999999999999998,3.215975761413574
1780859443.9863565,0.0,0.01999999999999998,3.3159103393554688
1780859444.0875282,-0.03,-2.0816681711721685e-17,3.4170820713043213
1780859444.1864052,-0.03,-0.02000000000000002,3.5159590244293213
1780859444.2864923,-0.04000000000000001,-0.04000000000000002,3.616046190261841
1780859444.3870673,-0.04000000000000001,-0.060000000000000026,3.716621160507202
1780859444.4865327,-0.04000000000000001,-0.08000000000000003,3.816086530685425
1780859444.5863624,-0.04000000000000001,-0.10000000000000003,3.9159162044525146
1780859444.686606,-0.04000000000000001,-0.12000000000000004,4.016159772872925
1780859444.7866533,-0.04000000000000001,-0.14000000000000004,4.116207122802734
1780859444.8865407,-0.04000000000000001,-0.16000000000000003,4.216094493865967
1780859444.9869478,-0.04000000000000001,-0.16729729942885552,4.316501617431641
1780859445.0864992,-0.04000000000000001,-0.16682084995399643,4.416053056716919
1780859445.1866877,-0.04000000000000001,-0.16652507753431245,4.516241550445557
1780859445.2869587,-0.04000000000000001,-0.16528718214218494,4.6165125370025635
1780859445.3866768,-0.04000000000000001,-0.16427986141373252,4.716230630874634
1780859445.4864411,-0.04000000000000001,-0.16423764669277757,4.81599497795105
1780859445.58652,-0.04000000000000001,-0.16311756766899244,4.916073799133301
1780859445.6864848,-0.04000000000000001,-0.1621731371579508,5.016038656234741
1780859445.786652,-0.04000000000000001,-0.16065005050416512,5.116205930709839
1780859445.8864849,-0.04000000000000001,-0.15945812741683757,5.216038703918457
1780859445.986601,-0.04000000000000001,-0.15910500130916524,5.316154956817627
1780859446.086887,0.0,-0.13910500130916525,5.416440725326538
1780859446.1875732,0.0,-0.11910500130916525,5.51712703704834
1780859446.2867024,0.0,-0.09910500130916525,5.616256237030029
1780859446.3864045,0.0,-0.07910500130916524,5.7159583568573
1780859446.4863687,0.0,-0.05910500130916524,5.815922498703003
1780859446.5863342,0.0,-0.039105001309165235,5.915888071060181
1780859446.686605,0.0,-0.019105001309165235,6.016158819198608
1780859446.7866497,0.0,0.0,6.116203546524048
1780859446.8862948,0.0,0.0,6.215848684310913
1780859446.987061,0.0,0.02,6.316614866256714
1780859447.0863006,0.0,0.04,6.415854454040527
1780859447.1866605,0.0,0.02,6.516214370727539
1780859447.2865322,0.0,0.04,6.616086006164551
1780859447.3864048,0.0,0.06,6.715958595275879
1780859447.4863353,0.0,0.08,6.815889120101929
1780859447.586592,0.0,0.06,6.9161458015441895
1780859447.6864085,0.0,0.039999999999999994,7.015962362289429
1780859447.7865012,0.0,0.019999999999999993,7.116055011749268
1780859447.8863103,0.0,0.0,7.215864181518555
1780859447.9863296,0.0,0.0,7.31588339805603
1780859448.0871012,0.0,0.02,7.41665506362915
1780859448.1874454,0.0,0.0,7.516999244689941
1780859448.2863953,0.0,0.0,7.6159491539001465
1780859448.386312,0.0,0.0,7.715865850448608
1780859448.4864144,0.0,0.0,7.81596827507019
1780859448.5865047,0.0,0.0,7.916058540344238
1780859448.6877809,-0.04000000000000001,-0.02,8.017334699630737
