t,x,z,yaw,time_s
1780859444.0874698,0.0,1.2,0.8187804210192079,3.4170236587524414
1780859444.1863809,0.0,1.2,0.8193378646543007,3.515934705734253
1780859444.2864506,0.0,1.2,0.8202573798506911,3.616004467010498
1780859444.3870485,0.0,1.2,0.8208896350476833,3.716602325439453
1780859444.486496,0.0,1.2,0.8217700464499447,3.816049814224243
1780859444.5863488,0.0,1.2,0.8232964607381442,3.915902614593506
1780859444.6865406,0.0,1.2,0.8249050278868129,4.016094446182251
1780859444.7866032,0.0,1.2,0.8272597172862289,4.116157054901123
1780859444.886503,0.0,1.2,0.8296377425815388,4.216056823730469
1780859444.9868565,0.0,1.2,0.8312797459483932,4.316410303115845
1780859445.0864704,0.0,1.2,0.8329432274123862,4.416024208068848
1780859445.1866517,0.0,1.2,0.8346873644173807,4.516205549240112
1780859445.2868762,0.0,1.2,0.8368546156832842,4.616430044174194
1780859445.386599,0.0,1.2,0.8389144716303287,4.716152906417847
1780859445.4864147,0.0,1.2,0.8393991820301936,4.8159685134887695
1780859445.586506,0.0,1.2,0.8402823846205514,4.916059732437134
1780859445.6864452,0.0,1.2,0.8413474067927198,5.01599907875061
1780859445.7866156,0.0,1.2,0.8431842807868574,5.116169452667236
1780859445.8864474,0.0,1.2,0.8452935387176905,5.216001272201538
1780859445.9865553,0.0,1.2,0.8461351036314279,5.3161091804504395
1780859448.6877003,0.0,1.2,0.8514365869494912,8.017254114151001
1780859450.9866533,0.0,1.2,0.8567286113539117,10.31620717048645
1780859451.0865946,0.0,1.2,0.8603580326588789,10.41614842414856
1780859451.186728,0.0,1.2,0.8636950330326643,10.516281843185425
1780859451.286526,0.0,1.2,0.8667159376878047,10.616079807281494
1780859451.3864985,0.0,1.2,0.8695644228468907,10.716052293777466
1780859451.4866037,0.0,1.2,0.872338350524088,10.816157579421997
1780859451.5863822,0.0,1.2,0.8742994790247594,10.91593599319458
1780859451.6865318,0.0,1.2,0.8756347124156005,11.016085624694824
1780859451.7864723,0.0,1.2,0.8769091004065613,11.116026163101196
1780859451.8864748,0.0,1.2,0.8785404723852114,11.216028690338135
1780859451.9864995,0.0,1.2,0.8802295338703693,11.31605339050293
1780859452.0864532,0.0,1.2,0.8818257935017553,11.416007041931152
1780859452.1864681,0.0,1.2,0.8831374346461103,11.516021966934204
1780859452.2868505,0.0,1.2,0.8840467432822847,11.616404294967651
1780859453.1870816,0.0,1.2,0.8813621867870713,12.516635417938232
1780859453.2864518,0.0,1.2,0.8794795239331018,12.616005659103394
1780859453.3865252,0.0,1.2,0.8780349722963868,12.716078996658325
1780859453.486446,0.0,1.2,0.8774540220788035,12.815999746322632
1780859453.5864835,0.0,1.2,0.8770008764790277,12.916037321090698
1780859453.6868777,0.0,1.2,0.8757759821838337,13.0164315700531
1780859453.7865043,0.0,1.2,0.8751727762969171,13.116058111190796
