t,state,time_s
1780859440.6865175,SEARCH,0.016071319580078125
1780859440.7863126,SEARCH,0.11586642265319824
1780859440.8863616,SEARCH,0.21591544151306152
1780859440.9869325,SEARCH,0.3164863586425781
1780859441.0863492,SEARCH,0.41590309143066406
1780859441.1863527,SEARCH,0.515906572341919
1780859441.286489,SEARCH,0.6160428524017334
1780859441.3862832,SEARCH,0.7158370018005371
1780859441.4863725,SEARCH,0.8159263134002686
1780859441.8767889,SEARCH,1.2063426971435547
1780859441.877621,SEARCH,1.2071747779846191
1780859441.8788266,SEARCH,1.2083804607391357
1780859441.8865705,SEARCH,1.2161242961883545
1780859441.9862907,SEARCH,1.3158445358276367
1780859442.086534,SEARCH,1.4160878658294678
1780859442.1865935,SEARCH,1.5161473751068115
1780859442.2864594,SEARCH,1.6160132884979248
1780859442.3863566,SEARCH,1.7159104347229004
1780859442.48655,SEARCH,1.8161039352416992
1780859442.5863717,SEARCH,1.9159255027770996
1780859442.686364,SEARCH,2.0159177780151367
1780859442.786408,SEARCH,2.115961790084839
1780859442.8862798,SEARCH,2.2158336639404297
1780859442.9866781,SEARCH,2.3162319660186768
1780859443.0862947,SEARCH,2.41584849357605
1780859443.1864989,SEARCH,2.516052722930908
1780859443.2864776,SEARCH,2.6160314083099365
1780859443.3863604,SEARCH,2.715914249420166
1780859443.4862618,SEARCH,2.8158156871795654
1780859443.5866199,WAIT_FOR_STABLE_TAG,2.9161736965179443
1780859443.686585,WAIT_FOR_STABLE_TAG,3.016138792037964
1780859443.7864277,WAIT_FOR_STABLE_TAG,3.1159815788269043
1780859443.886395,WAIT_FOR_STABLE_TAG,3.2159488201141357
1780859443.9863415,WAIT_FOR_STABLE_TAG,3.3158953189849854
1780859444.0872116,APPROACH_ENTRANCE,3.4167654514312744
1780859444.1863036,APPROACH_ENTRANCE,3.515857458114624
1780859444.286291,APPROACH_ENTRANCE,3.6158447265625
1780859444.3865511,APPROACH_ENTRANCE,3.7161049842834473
1780859444.4863923,APPROACH_ENTRANCE,3.815946102142334
1780859444.586256,APPROACH_ENTRANCE,3.9158098697662354
1780859444.6863697,APPROACH_ENTRANCE,4.015923500061035
1780859444.7864711,APPROACH_ENTRANCE,4.116024971008301
1780859444.886412,APPROACH_ENTRANCE,4.215965747833252
1780859444.9865844,APPROACH_ENTRANCE,4.31613826751709
1780859445.0863583,APPROACH_ENTRANCE,4.41591215133667
1780859445.1866336,APPROACH_ENTRANCE,4.516187429428101
1780859445.2866292,APPROACH_ENTRANCE,4.616183042526245
1780859445.386461,APPROACH_ENTRANCE,4.716014862060547
1780859445.4863381,APPROACH_ENTRANCE,4.815891981124878
1780859445.5863597,APPROACH_ENTRANCE,4.9159135818481445
1780859445.6863363,APPROACH_ENTRANCE,5.015890121459961
1780859445.7864583,APPROACH_ENTRANCE,5.116012096405029
1780859445.8863485,APPROACH_ENTRANCE,5.215902328491211
1780859445.986407,APPROACH_ENTRANCE,5.315960884094238
1780859446.086861,RECOVERING,5.416414737701416
