t,u,r,time_s
1781029405.8150923,-0.25,-0.0002751411605470275,13.298048257827759
1781029405.9343174,-0.25,0.0037661589159546796,13.41727328300476
1781029406.068908,-0.25,0.006779506389077776,13.5518639087677
1781029406.1492486,-0.25,0.008855368441653579,13.632204532623291
1781029406.183431,-0.25,0.008346661292152911,13.666386842727661
1781029406.27717,-0.25,0.0078024510355464574,13.760125875473022
1781029406.3644302,-0.25,0.007307679378273985,13.847386121749878
1781029406.4474843,-0.25,0.007390388220956963,13.930440187454224
1781029406.5598588,-0.15,0.007169619377764423,14.0428147315979
1781029406.6500678,-0.15,0.006582134608107813,14.133023738861084
1781029406.7728193,-0.15,0.006367809854276559,14.255775213241577
1781029406.859429,-0.15,0.006356861014379358,14.342384815216064
1781029406.9646358,-0.15,0.006405879057748033,14.447591781616211
1781029407.053078,-0.15,0.006579544355375227,14.536033868789673
1781029407.1405199,0.0,-0.043420455644624774,14.623475790023804
1781029407.2391667,0.0,-0.07826335099534779,14.72212266921997
1781029407.3407714,0.0,-0.028263350995347783,14.823727369308472
1781029407.4364572,0.0,0.0,14.919413089752197
1781029407.5381746,0.0,0.0,15.021130561828613
1781029407.645552,0.0,0.0,15.128507852554321
1781029407.7889354,0.0,-0.05,15.271891355514526
1781029407.942034,0.0,-0.08,15.424989938735962
1781029408.0005238,0.0,-0.08,15.483479738235474
1781029408.0643134,0.0,-0.08,15.547269344329834
1781029408.1504445,0.0,-0.08,15.633400440216064
1781029408.2401412,0.0,-0.03,15.723097085952759
1781029408.3363378,0.0,0.0,15.819293737411499
1781029408.4431283,0.0,0.0,15.926084280014038
1781029408.5459058,0.0,0.0,16.02886176109314
1781029408.6383336,0.0,0.0,16.121289491653442
1781029408.746597,0.0,0.0,16.22955298423767
1781029408.8463185,0.0,0.0,16.32927441596985
1781029408.9365659,0.0,0.0,16.419521808624268
1781029409.0396476,0.0,0.0,16.522603511810303
1781029409.1523678,0.0,0.0,16.635323762893677
1781029409.2396038,-0.15,0.007898186598152553,16.722559690475464
1781029409.3440928,-0.15,0.007062046466128386,16.827048778533936
1781029409.4459398,-0.15,0.006471518735531454,16.928895711898804
1781029409.542651,-0.15,0.006757690304290393,17.025606870651245
1781029409.645471,-0.15,0.008255722270542387,17.128427028656006
1781029409.7522805,-0.15,0.010110726571376483,17.235236406326294
1781029409.8521748,-0.15,0.01257675953288584,17.33513069152832
1781029409.9510698,-0.15,0.014265879734766436,17.434025764465332
1781029410.0450323,-0.15,0.015501819192128617,17.52798819541931
1781029410.144532,-0.15,0.01639986420378267,17.627487897872925
1781029410.2422497,-0.15,0.014346137929391958,17.725205659866333
1781029410.3567252,-0.15,0.012409510334863191,17.839681148529053
1781029410.441783,-0.15,0.010523988262403493,17.924738883972168
1781029410.5671284,-0.15,0.009190143695549319,18.050084352493286
1781029410.6544027,0.0,-0.002688465411693328,18.13735866546631
1781029410.7498517,0.0,0.0002471290547357255,18.232807636260986
1781029410.8845217,0.0,0.0031788461439733913,18.367477655410767
1781029410.9767513,0.0,0.0061157004080458575,18.459707260131836
1781029411.0640533,0.0,0.009050860944175515,18.547009229660034
1781029411.1582668,0.0,0.011986595388120504,18.641222715377808
1781029411.2627215,0.0,0.0,18.74567747116089
1781029411.360935,0.0,0.0,18.84389090538025
1781029411.5080693,0.0,-0.04715561003381135,18.99102520942688
1781029411.5667107,0.0,-0.049479112722177934,19.0496666431427
1781029411.6742837,0.0,-0.0518053725364679,19.15723967552185
1781029411.7743034,0.0,-0.05413344084784242,19.257259368896484
1781029411.867106,0.0,-0.0041334408478424164,19.350061893463135
1781029411.9780676,0.0,0.0,19.461023569107056
1781029412.0630028,0.0,0.0,19.545958757400513
1781029412.1567526,0.0,0.0,19.639708518981934
1781029412.2447572,0.0,0.0,19.727713108062744
1781029412.3651536,0.0,0.0,19.848109483718872
1781029412.4479132,0.0,0.0,19.930869102478027
1781029412.5472639,0.0,-0.03021760090872233,20.030219793319702
1781029412.651625,0.0,-0.03322519966781954,20.134580850601196
1781029412.7383997,0.0,-0.03622920261149031,20.221355676651
1781029412.8416853,0.0,-0.039234602336053824,20.324641227722168
1781029412.9488926,0.0,0.0,20.431848526000977
1781029413.0560026,0.0,0.0,20.53895854949951
1781029413.150532,0.0,-0.05,20.633487939834595
1781029413.2648518,0.0,-0.058520438188514136,20.74780774116516
1781029413.3690774,0.0,-0.008520438188514133,20.852033376693726
1781029413.4445229,0.0,0.0,20.927478790283203
1781029413.5350962,0.0,0.0,21.018052101135254
1781029413.6576815,0.0,0.0,21.140637397766113
1781029413.7575676,0.0,0.0,21.24052357673645
1781029413.852846,0.0,0.0,21.33580183982849
1781029413.9396815,0.0,0.0,21.422637462615967
1781029414.0513384,0.0,0.0,21.534294366836548
1781029414.1515276,0.0,0.0,21.634483575820923
1781029414.240754,0.0,0.0,21.72370982170105
1781029414.3624117,0.0,0.0,21.845367670059204
1781029414.4560757,0.0,0.0,21.93903160095215
1781029414.5687325,0.0,0.0,22.05168843269348
1781029414.6643102,0.0,0.0,22.147266149520874
1781029414.7804031,0.0,0.0,22.26335906982422
1781029414.8560336,0.0,0.0,22.33898949623108
1781029414.9541178,0.0,0.0,22.437073707580566
1781029415.0708477,0.0,0.0,22.55380368232727
1781029415.154625,0.0,0.0,22.63758087158203
1781029415.2549253,0.0,0.0,22.737881183624268
1781029415.354143,0.0,0.0,22.837098836898804
1781029415.4605625,0.0,0.0,22.94351840019226
1781029415.5556064,0.0,0.0,23.038562297821045
1781029415.632675,0.0,0.0,23.115630865097046
1781029415.7582963,0.0,0.0,23.241252183914185
1781029415.8743737,0.0,0.0,23.357329607009888
1781029415.9512992,0.0,0.0,23.434255123138428
1781029416.041431,0.0,0.0,23.524386882781982
1781029416.1446962,0.0,0.0,23.627652168273926
1781029416.2389364,0.0,0.0,23.72189235687256
1781029416.3399339,0.0,0.0,23.822889804840088
1781029416.4375396,0.0,0.0,23.92049551010132
1781029416.5366619,0.0,0.0,24.019617795944214
1781029416.6431766,0.0,0.0,24.126132488250732
1781029416.7291994,0.0,0.0,24.21215534210205
1781029416.8416967,0.0,0.0,24.324652671813965
1781029416.9433846,0.0,0.0,24.426340579986572
1781029417.0165827,0.0,0.0,24.49953866004944
1781029417.1270914,0.0,0.0,24.610047340393066
1781029417.2419243,0.0,0.0,24.72488021850586
1781029417.3450174,0.0,0.0,24.82797336578369
1781029417.4592981,0.0,0.0,24.942254066467285
1781029417.5626178,0.0,0.0,25.045573711395264
1781029417.6505558,0.0,0.0,25.133511781692505
1781029417.7364137,0.0,0.0,25.219369649887085
1781029417.834767,0.0,-0.043687993865311525,25.317723035812378
1781029418.0213847,0.0,-0.04297935532112215,25.504340648651123
1781029418.068205,0.0,-0.04227060357102897,25.55116105079651
1781029418.1479263,0.0,-0.04156178254568124,25.630882263183594
1781029418.2326062,0.0,-0.04085362723863341,25.715562105178833
1781029418.3385983,0.0,-0.04014460345644308,25.82155418395996
1781029418.4849339,0.0,-0.039435410710217236,25.9678897857666
1781029418.5625725,0.0,-0.038727216541441234,26.045528411865234
1781029418.6474419,0.0,-0.03801861516933966,26.13039779663086
1781029418.7417207,0.0,-0.037309885384571105,26.224676609039307
1781029418.8365467,0.0,-0.03660163038874232,26.319502592086792
1781029418.9496605,0.0,-0.035892395401507605,26.432616472244263
1781029419.035812,0.0,0.0,26.518767833709717
1781029419.1369197,0.0,0.0,26.61987566947937
1781029419.2363284,0.0,-0.05,26.719284296035767
1781029419.3387196,0.0,0.0,26.821675539016724
1781029419.4355729,0.0,0.002914862495876282,26.91852879524231
1781029419.545058,0.0,0.006693264503281788,27.028013944625854
1781029419.6393814,0.0,0.010526324241362274,27.122337341308594
1781029419.740788,0.0,0.0,27.22374391555786
1781029419.84772,0.0,0.02200965951073834,27.330675840377808
1781029419.9442027,0.0,0.026169494260920113,27.42715859413147
1781029420.0599372,0.0,0.030322365934809133,27.542893171310425
1781029420.1673872,0.0,0.034458294782434694,27.65034317970276
1781029420.2961438,0.0,0.038607862951378004,27.779099702835083
1781029420.3648293,0.0,0.04275653106358462,27.847785234451294
1781029420.4442182,0.0,0.04690788945526797,27.92717409133911
1781029420.5472946,0.0,0.05105275952586035,28.030250549316406
1781029420.6482127,0.0,0.05520607628275105,28.131168603897095
1781029420.7579362,0.0,0.0593441810917181,28.24089217185974
1781029420.8358788,0.0,0.06349995075048465,28.31883478164673
1781029420.9383647,0.0,0.06764682863995122,28.42132067680359
1781029421.0343435,0.0,0.07179778151156639,28.51729941368103
1781029421.135061,0.0,0.07594358131109558,28.618016958236694
1781029421.2344892,0.0,0.08,28.717445135116577
1781029421.3462117,0.0,0.08,28.82916760444641
1781029421.4376805,0.0,0.08,28.920636415481567
1781029421.5402477,0.0,0.08,29.0232036113739
1781029421.634361,0.0,0.08,29.117316961288452
1781029421.7370498,0.0,0.08,29.220005750656128
1781029421.8317108,0.0,0.08,29.314666748046875
1781029421.927922,0.0,0.08,29.41087794303894
1781029422.0460844,0.0,0.08,29.529040336608887
1781029422.1354048,0.0,0.08,29.61836075782776
