t,state,time_s
1781029392.94968,ALIGN_CENTERLINE,0.432636022567749
1781029393.032066,RECOVERING,0.5150220394134521
1781029393.1605895,RECOVERING,0.643545389175415
1781029393.23892,WAIT_FOR_STABLE_TAG,0.7218759059906006
1781029393.339528,WAIT_FOR_STABLE_TAG,0.822484016418457
1781029393.4352283,WAIT_FOR_STABLE_TAG,0.9181842803955078
1781029393.5463302,WAIT_FOR_STABLE_TAG,1.0292861461639404
1781029393.6359162,WAIT_FOR_STABLE_TAG,1.1188721656799316
1781029393.730389,WAIT_FOR_STABLE_TAG,1.2133450508117676
1781029393.8413546,WAIT_FOR_STABLE_TAG,1.324310541152954
1781029393.9347448,WAIT_FOR_STABLE_TAG,1.4177007675170898
1781029394.0312092,WAIT_FOR_STABLE_TAG,1.5141651630401611
1781029394.1401577,WAIT_FOR_STABLE_TAG,1.6231136322021484
1781029394.2295766,ALIGN_CENTERLINE,1.7125325202941895
1781029394.3371418,ALIGN_CENTERLINE,1.8200976848602295
1781029394.4389002,ALIGN_CENTERLINE,1.921856164932251
1781029394.5495758,ALIGN_CENTERLINE,2.03253173828125
1781029394.641227,ALIGN_CENTERLINE,2.124182939529419
1781029394.7442293,ALIGN_CENTERLINE,2.2271852493286133
1781029394.8458524,ALIGN_CENTERLINE,2.328808307647705
1781029394.9455802,ALIGN_CENTERLINE,2.4285361766815186
1781029395.0614007,ALIGN_CENTERLINE,2.54435658454895
1781029395.1484919,ALIGN_CENTERLINE,2.6314477920532227
1781029395.2346027,ALIGN_CENTERLINE,2.7175586223602295
1781029395.3471282,ALIGN_CENTERLINE,2.8300840854644775
1781029395.4353802,ALIGN_CENTERLINE,2.9183361530303955
1781029395.5457735,ALIGN_CENTERLINE,3.0287294387817383
1781029395.6347866,ALIGN_CENTERLINE,3.1177425384521484
1781029395.7405813,RECOVERING,3.2235372066497803
1781029395.833423,RECOVERING,3.3163788318634033
1781029395.9450803,RECOVERING,3.4280362129211426
1781029396.0556595,WAIT_FOR_STABLE_TAG,3.5386154651641846
1781029396.1518881,WAIT_FOR_STABLE_TAG,3.6348440647125244
1781029396.2246895,WAIT_FOR_STABLE_TAG,3.7076454162597656
1781029396.3352668,WAIT_FOR_STABLE_TAG,3.818222761154175
1781029396.4418502,RECOVERING,3.9248061180114746
1781029396.5383759,RECOVERING,4.021331787109375
1781029396.6310592,RECOVERING,4.114015102386475
1781029396.7298372,RECOVERING,4.2127931118011475
1781029396.8360162,RECOVERING,4.318972110748291
1781029396.9346566,RECOVERING,4.417612552642822
1781029397.0278234,RECOVERING,4.51077938079834
1781029397.133946,RECOVERING,4.616901874542236
1781029397.2377813,RECOVERING,4.7207372188568115
1781029397.3415349,RECOVERING,4.824490785598755
1781029397.4315834,RECOVERING,4.914539337158203
1781029397.5247371,RECOVERING,5.00769305229187
1781029397.626099,RECOVERING,5.109055042266846
1781029397.7447672,RECOVERING,5.227723121643066
1781029397.8377626,RECOVERING,5.32071852684021
1781029397.939862,RECOVERING,5.422817945480347
1781029398.0350635,RECOVERING,5.518019437789917
1781029398.1437333,RECOVERING,5.626689195632935
1781029398.2341433,RECOVERING,5.717099189758301
1781029398.3361275,RECOVERING,5.8190834522247314
1781029398.4492688,RECOVERING,5.932224750518799
1781029398.5574174,RECOVERING,6.0403733253479
1781029398.640392,RECOVERING,6.123347997665405
1781029398.7353275,RECOVERING,6.218283414840698
1781029398.8440316,RECOVERING,6.3269875049591064
1781029398.9383662,RECOVERING,6.4213221073150635
1781029399.0320475,RECOVERING,6.515003442764282
1781029399.1421251,RECOVERING,6.6250810623168945
1781029399.2388468,RECOVERING,6.721802711486816
1781029399.335126,RECOVERING,6.818081855773926
1781029399.444085,RECOVERING,6.9270408153533936
1781029399.5451317,RECOVERING,7.028087615966797
1781029399.6284075,WAIT_FOR_STABLE_TAG,7.111363410949707
1781029399.7365267,RECOVERING,7.219482660293579
1781029399.8403437,RECOVERING,7.3232996463775635
1781029399.9249847,RECOVERING,7.407940626144409
1781029400.0202782,RECOVERING,7.503234148025513
1781029400.1314747,WAIT_FOR_STABLE_TAG,7.614430665969849
1781029400.2306173,WAIT_FOR_STABLE_TAG,7.713573217391968
1781029400.3287125,WAIT_FOR_STABLE_TAG,7.811668395996094
1781029400.4331746,WAIT_FOR_STABLE_TAG,7.916130542755127
1781029400.5295177,WAIT_FOR_STABLE_TAG,8.012473583221436
1781029400.6235428,WAIT_FOR_STABLE_TAG,8.106498718261719
1781029400.7317333,WAIT_FOR_STABLE_TAG,8.214689254760742
1781029400.8302422,WAIT_FOR_STABLE_TAG,8.31319808959961
1781029400.9306056,RECOVERING,8.413561582565308
1781029401.0224495,RECOVERING,8.50540542602539
1781029401.1304884,RECOVERING,8.613444328308105
1781029401.226699,RECOVERING,8.709655046463013
1781029401.325576,RECOVERING,8.808531999588013
1781029401.4248047,RECOVERING,8.907760620117188
1781029401.5308015,RECOVERING,9.013757467269897
1781029401.6325705,WAIT_FOR_STABLE_TAG,9.1155264377594
1781029401.7312045,RECOVERING,9.214160442352295
1781029401.832033,RECOVERING,9.314988851547241
1781029401.9390123,WAIT_FOR_STABLE_TAG,9.421968221664429
1781029402.0360265,WAIT_FOR_STABLE_TAG,9.518982410430908
1781029402.1569912,WAIT_FOR_STABLE_TAG,9.639947175979614
1781029402.230732,WAIT_FOR_STABLE_TAG,9.713687896728516
1781029402.3362296,WAIT_FOR_STABLE_TAG,9.819185495376587
1781029402.428825,RECOVERING,9.911780834197998
1781029402.5381205,RECOVERING,10.021076440811157
1781029402.6361506,WAIT_FOR_STABLE_TAG,10.119106531143188
1781029402.7290006,WAIT_FOR_STABLE_TAG,10.21195650100708
1781029402.8222322,WAIT_FOR_STABLE_TAG,10.305188179016113
1781029402.9300764,WAIT_FOR_STABLE_TAG,10.413032293319702
1781029403.0564284,WAIT_FOR_STABLE_TAG,10.539384365081787
1781029403.1281075,WAIT_FOR_STABLE_TAG,10.611063480377197
1781029403.2237353,WAIT_FOR_STABLE_TAG,10.706691265106201
1781029403.3233764,WAIT_FOR_STABLE_TAG,10.806332349777222
1781029403.4257576,WAIT_FOR_STABLE_TAG,10.908713579177856
1781029403.526135,WAIT_FOR_STABLE_TAG,11.009090900421143
1781029403.634287,RECOVERING,11.11724305152893
1781029403.7306476,RECOVERING,11.213603496551514
