t,x,y,z,yaw,time_s
1780785202.7163477,3.5039654561074745,2.9131860016616895e-08,0.21747459763434146,-7.346408396724513e-06,0.1188812255859375
1780785202.740093,3.5040138929454,2.948769682643369e-08,0.2176769342958684,-7.346408394948156e-06,0.14262652397155762
1780785202.7621863,3.5040531562899853,2.9776141412768483e-08,0.21840917944522403,-7.346408393171799e-06,0.164719820022583
1780785202.7904258,3.504128302325824,3.032819490567305e-08,0.21751059118552285,-7.346408391839532e-06,0.19295930862426758
1780785202.8166256,3.5041753522055616,3.067384256600892e-08,0.21815055057824642,-7.3464083891749965e-06,0.21915912628173828
1780785202.8370943,3.504240034109335,3.1149022277029825e-08,0.2179096762734566,-7.346408387842729e-06,0.23962783813476562
1780785202.859959,3.5043092812591508,3.165774015145083e-08,0.21763910013070417,-7.3464083869545505e-06,0.26249241828918457
1780785202.8867378,3.5043576087544452,3.201277370096701e-08,0.21847702574138309,-7.3464083869545505e-06,0.28927135467529297
1780785202.9079542,3.504442496649247,3.2636394874526785e-08,0.21758264485910217,-7.346408385622283e-06,0.3104877471923828
1780785202.9308143,3.504503414678459,3.3083923621894355e-08,0.21802448122982296,-7.346408385178194e-06,0.33334779739379883
1780785202.9512215,3.504569721129492,3.3571037911988316e-08,0.21818808588052158,-7.346408384290015e-06,0.35375499725341797
1780785202.9727461,3.504657763679005,3.421783445320285e-08,0.2174483519848706,-7.34640838162548e-06,0.37527966499328613
1780785202.9960022,3.504715192468729,3.4639729804967366e-08,0.21834350236848246,-7.346408380293212e-06,0.39853572845458984
1780785203.0158885,3.5047962620112254,3.5235299776234145e-08,0.21802799568598805,-7.3464083785168555e-06,0.41842198371887207
1780785203.037808,3.504885360464496,3.588985339900689e-08,0.21747417982661393,-7.346408374964142e-06,0.4403414726257324
1780785203.0585096,3.5049445899536753,3.632497740655506e-08,0.21851254355212676,-7.346408374964142e-06,0.461043119430542
1780785203.0801835,3.5050355509977043,3.699321437031132e-08,0.2179580895123326,-7.3464083745200526e-06,0.48271703720092773
1780785203.1021914,3.505125470198609,3.765379752248263e-08,0.2175907644112525,-7.346408372743696e-06,0.5047249794006348
1780785203.122986,3.5051885726539327,3.81173739034365e-08,0.21863960686477502,-7.3464083700791605e-06,0.525519609451294
1780785203.1478739,3.50528877660941,3.885351305376065e-08,0.21785308190815725,-7.346408366526447e-06,0.5504074096679688
1780785203.167705,3.5053740393898054,3.9479888228534304e-08,0.2179336758175316,-7.346408365194179e-06,0.5702385902404785
1780785203.1894665,3.5054488318908184,4.002934445421074e-08,0.21853936395671725,-7.3464083638619115e-06,0.5920000076293945
1780785203.2125642,3.505553536622148,4.0798548139795954e-08,0.2177477349260866,-7.346408361197376e-06,0.6150977611541748
1780785203.2327278,3.505628744538153,4.135105617688208e-08,0.21851683402428537,-7.346408361197376e-06,0.6352612972259521
1780785203.2554264,3.5057280323267097,4.208046479239128e-08,0.2180221896257087,-7.346408359865109e-06,0.6579599380493164
1780785203.275829,3.5058224280508252,4.277393430730445e-08,0.21790043741615783,-7.346408359865109e-06,0.6783626079559326
1780785203.2979956,3.5058975607959866,4.3325890115445083e-08,0.21876190784452515,-7.346408358532841e-06,0.7005290985107422
1780785203.319745,3.5060104954144786,4.4155553923012294e-08,0.21774323032258072,-7.346408356756484e-06,0.7222785949707031
1780785203.3399937,3.506097930350054,4.479788665018165e-08,0.2180763357214781,-7.346408354091949e-06,0.7425272464752197
1780785203.3636699,3.5061783272701934,4.538851524576336e-08,0.2187559872303788,-7.346408354091949e-06,0.7662034034729004
1780785203.3838384,3.5062938951389557,4.6237523994307026e-08,0.21771471473784407,-7.3464083532037705e-06,0.7863719463348389
1780785203.4059167,3.506379409389312,4.6865746592786356e-08,0.2182349175481783,-7.3464083532037705e-06,0.8084502220153809
1780785203.4275267,3.5064652550505935,4.749640387291108e-08,0.2187001409404194,-7.3464083509833245e-06,0.8300602436065674
1780785203.4477642,3.506580040814376,4.833966696527588e-08,0.21777630593273836,-7.346408350539235e-06,0.8502976894378662
1780785203.4706662,3.5066634191348776,4.895219815698791e-08,0.21847594730392395,-7.346408349651057e-06,0.8731997013092041
1780785203.4910593,3.506759310335867,4.965665407961855e-08,0.21845978140915429,-7.3464083469865216e-06,0.8935928344726562
1780785203.5147016,3.5068664365802666,5.044364722120504e-08,0.21797301834370264,-7.346408342989719e-06,0.9172351360321045
1780785203.536454,3.506945691647377,5.102588731735287e-08,0.21889160800469218,-7.346408342989719e-06,0.9389874935150146
1780785203.5567107,3.5070574395462977,5.184683302573655e-08,0.2181121893186979,-7.34640834210154e-06,0.9592442512512207
1780785203.5818226,3.5071505724451355,5.2531025344845986e-08,0.2183356706579343,-7.346408338104737e-06,0.984356164932251
1780785203.6078725,3.507238994294057,5.318060836962431e-08,0.21870916238455673,-7.346408337660648e-06,1.0104060173034668
1780785203.62653,3.5073495660607845,5.399291373585851e-08,0.2180191385346614,-7.346408338104737e-06,1.0290634632110596
1780785203.6496828,3.507429172751884,5.457773701219898e-08,0.2189049853384816,-7.34640833677247e-06,1.0522162914276123
1780785203.6709437,3.507536195274261,5.53639681792347e-08,0.21828024866761303,-7.346408335440202e-06,1.0734772682189941
1780785203.6935682,3.5076364897105687,5.6100772076518985e-08,0.21803855436525266,-7.346408332775667e-06,1.0961017608642578
1780785203.720165,3.5077104682111386,5.664424836108481e-08,0.21912657661442161,-7.346408332331578e-06,1.1226985454559326
1780785203.7408392,3.507822597174575,5.746799352209944e-08,0.21818855993249794,-7.346408329667042e-06,1.1433727741241455
1780785203.7637186,3.507917525673975,5.816537704693692e-08,0.2181338392702796,-7.3464083278906855e-06,1.1662521362304688
1780785203.783975,3.507990017254136,5.869792979726513e-08,0.2191981694371184,-7.346408324337972e-06,1.1865084171295166
1780785203.8110418,3.5081018054167337,5.9519171286011167e-08,0.21818489299464663,-7.346408322561615e-06,1.2135753631591797
1780785203.8349993,3.508191122966735,6.017533447625999e-08,0.21831387735307828,-7.3464083234497934e-06,1.2375328540802002
1780785203.856157,3.508265494824989,6.072170050888436e-08,0.21914002860516915,-7.346408320785258e-06,1.258690595626831
1780785203.8805914,3.508373282610506,6.151355358604644e-08,0.2182223706801477,-7.346408319008901e-06,1.2831249237060547
1780785203.9010673,3.50845195535155,6.209151565557707e-08,0.21878941903721702,-7.346408318564812e-06,1.303600788116455
1780785203.926781,3.508540758817375,6.274390216385546e-08,0.21868043890195926,-7.3464083172325445e-06,1.3293144702911377
