t,x,z,yaw,time_s
1780876570.4068613,0.0,1.2,0.7983519895800706,2.1001498699188232
1780876570.5066197,0.0,1.2,0.7997861354993342,2.1999082565307617
1780876570.606526,0.0,1.2,0.8012025272218563,2.299814462661743
1780876570.7065735,0.0,1.2,0.8018066760388036,2.399862051010132
1780876570.8066165,0.0,1.2,0.804408477805117,2.4999051094055176
1780876571.5084872,0.0,1.2,0.8056758435779792,3.2017757892608643
1780876571.6069145,0.0,1.2,0.8079649649031715,3.3002030849456787
1780876571.7065637,0.0,1.2,0.8113821951704714,3.3998522758483887
1780876571.806772,0.0,1.2,0.8158269600653054,3.500060558319092
1780876571.9070237,0.0,1.2,0.8206465803882736,3.6003122329711914
1780876572.007017,0.0,1.2,0.8253092908370009,3.700305461883545
1780876572.106784,0.0,1.2,0.8282442083423283,3.80007266998291
1780876572.2068112,0.0,1.2,0.8308015106611469,3.900099754333496
1780876572.3065393,0.0,1.2,0.8335787929690701,3.9998278617858887
1780876572.4065118,0.0,1.2,0.8346235152558873,4.09980034828186
1780876572.5069304,0.0,1.2,0.8345293828840463,4.200218915939331
1780876572.6065307,0.0,1.2,0.8352087177822942,4.299819231033325
1780876572.7064924,0.0,1.2,0.8360308595266522,4.399780988693237
1780876572.8067062,0.0,1.2,0.8363243553395286,4.49999475479126
1780876572.906697,0.0,1.2,0.8370461042313023,4.599985599517822
1780876573.0066803,0.0,1.2,0.838105914368402,4.6999688148498535
1780876574.806836,0.0,1.2,0.8434714766447927,6.500124454498291
1780876574.906875,0.0,1.2,0.848366394150796,6.600163459777832
1780876575.0066154,0.0,1.2,0.8512098251380686,6.699903964996338
1780876576.8077652,0.0,1.2,0.8538712244760195,8.501053810119629
1780876576.9065137,0.0,1.2,0.8557898428624566,8.599802255630493
1780876577.0072217,0.0,1.2,0.8567727790137406,8.700510263442993
1780876577.1069274,0.0,1.2,0.8572279337647656,8.80021595954895
1780876577.2068214,0.0,1.2,0.856618419467746,8.900110006332397
1780876577.30693,0.0,1.2,0.855807853184944,9.000218629837036
1780876577.406624,0.0,1.2,0.8554346562119454,9.099912643432617
1780876577.5066662,0.0,1.2,0.8540753295544261,9.199954748153687
1780876577.6067529,0.0,1.2,0.8542284906739951,9.300041437149048
1780876577.7066271,0.0,1.2,0.8535912019644847,9.39991569519043
1780876577.8066528,0.0,1.2,0.8531837560905365,9.499941349029541
1780876577.907036,0.0,1.2,0.8524367705082773,9.600324630737305
1780876578.0065544,0.0,1.2,0.8502030426266423,9.699842929840088
1780876579.4071503,0.0,1.2,0.8505493676483827,11.100438833236694
1780876579.5066633,0.0,1.2,0.8494331846897498,11.199951887130737
1780876579.606596,0.0,1.2,0.8499736576983075,11.299884557723999
1780876580.3068416,0.0,1.2,0.8536459154351465,12.00013017654419
1780876581.006946,0.0,1.2,0.8578838415606451,12.700234651565552
1780876581.1068578,0.0,1.2,0.8605040740588844,12.800146341323853
1780876581.2070596,0.0,1.2,0.8634226365677938,12.90034818649292
1780876581.306822,0.0,1.2,0.8638231814286387,13.000110626220703
1780876581.4067464,0.0,1.2,0.8652137367571006,13.100034952163696
1780876582.807232,0.0,1.2,0.8648902657320011,14.500520467758179
1780876582.9071107,0.0,1.2,0.8624236685487532,14.600399255752563
1780876583.00668,0.0,1.2,0.8598604994609266,14.699968576431274
1780876583.1065633,0.0,1.2,0.8568644393660427,14.799851894378662
1780876583.207131,0.0,1.2,0.8533040566356442,14.900419473648071
1780876583.3066275,0.0,1.2,0.8508365614987592,14.999916076660156
1780876583.4066284,0.0,1.2,0.8491994831356225,15.099916934967041
1780876585.6071706,0.0,1.2,0.8434546001866812,17.300459146499634
1780876590.6074965,0.0,1.2,0.8440765630553808,22.300785064697266
1780876599.0075397,0.0,1.2,0.833970632901418,30.700828313827515
1780876599.106564,0.0,1.2,0.8262474457159843,30.7998526096344
1780876599.2066028,0.0,1.2,0.8214087347399972,30.89989137649536
1780876599.3066015,0.0,1.2,0.8180159185308389,30.999890089035034
1780876599.4067662,0.0,1.2,0.8172000475274552,31.10005474090576
1780876599.5066652,0.0,1.2,0.8162599132538313,31.19995379447937
1780876599.6065803,0.0,1.2,0.8171793495304106,31.29986882209778
1780876599.7064815,0.0,1.2,0.815959029818413,31.3997700214386
1780876599.8065994,0.0,1.2,0.8144295416095655,31.499887943267822
1780876599.9066293,0.0,1.2,0.8139120820498863,31.599917888641357
1780876600.006657,0.0,1.2,0.8141161581708704,31.6999454498291
1780876600.1066837,0.0,1.2,0.8144655449203303,31.79997229576111
1780876600.2066298,0.0,1.2,0.8139938393561107,31.8999183177948
1780876600.3067203,0.0,1.2,0.8111928917613328,32.00000882148743
1780876600.406626,0.0,1.2,0.806983768975104,32.09991455078125
1780876600.5070314,0.0,1.2,0.8055927405622947,32.20032000541687
1780876600.6069417,0.0,1.2,0.8042847769335751,32.300230264663696
1780876600.707164,0.0,1.2,0.8011054580675578,32.400452613830566
1780876600.8066263,0.0,1.2,0.7982161420719717,32.49991488456726
1780876600.9070325,0.0,1.2,0.7935395044976623,32.60032105445862
1780876601.006667,0.0,1.2,0.7900091743170885,32.699955463409424
1780876601.107073,0.0,1.2,0.7884413439196362,32.80036163330078
1780876601.207633,0.0,1.2,0.7832262723526772,32.90092158317566
1780876601.3065813,0.0,1.2,0.7794649734108503,32.99986982345581
1780876601.406711,0.0,1.2,0.7778346513671205,33.09999966621399
1780876601.5066772,0.0,1.2,0.777457967626567,33.199965715408325
